tar_x(m) tar_y(m) tar_th(deg) vel_x(m/s) vel_y(m/s) cog_x(m) cog_y(m) L(0)R(1) STATE(0-2) ZMP_x(m) ZMP_y(m) ax0 ax1 ax2 ax3 ax4 ax5 ay0 ay1 ay2 ay3 ay4 ay5
-0.20 0 0 0 0 0 0 0 0 0 -0.05 -1.06647e-06 -0.000349742 -0.0389836 0.0612055 -0.141989 -0.0122979 -5.01548e-06 -0.00149621 -0.173068 0.28527 -0.676146 0.0158144
-0.19 0 0 0 0 0 0 0 0 0 -0.05 -1.06671e-06 -0.000349741 -0.0389823 0.0611766 -0.141815 -0.012473 -5.01548e-06 -0.00149621 -0.173068 0.28527 -0.676146 0.0158144
-0.18 0 0 0 0 0 0 0 0 0 -0.05 -1.06696e-06 -0.000349741 -0.038981 0.0611477 -0.141641 -0.0126481 -5.01671e-06 -0.00149621 -0.173061 0.285126 -0.675277 0.014939
-0.17 0 0 0 0 0 0 0 0 0 -0.05 -1.06497e-06 -0.000349089 -0.0389084 0.0610797 -0.141434 -0.0125215 -5.01671e-06 -0.00149621 -0.173061 0.285126 -0.675277 0.014939
-0.16 0 0 0 0 0 0 0 0 0 -0.05 -1.06297e-06 -0.000348437 -0.0388358 0.0610116 -0.141227 -0.012395 -5.01671e-06 -0.00149621 -0.173061 0.285126 -0.675277 0.014939
-0.15 0 0 0 0 0 0 0 0 0 -0.05 -1.06098e-06 -0.000347785 -0.0387632 0.0609435 -0.141021 -0.0122685 -5.01671e-06 -0.00149621 -0.173061 0.285126 -0.675277 0.014939
-0.14 0 0 0 0 0 0 0 0 0 -0.05 -1.05898e-06 -0.000347133 -0.0386905 0.0608755 -0.140814 -0.012142 -5.01671e-06 -0.00149621 -0.173061 0.285126 -0.675277 0.014939
-0.13 0 0 0 0 0 0 0 0 0 -0.05 -1.05699e-06 -0.000346481 -0.0386179 0.0608074 -0.140607 -0.0120155 -5.01671e-06 -0.00149621 -0.173061 0.285126 -0.675277 0.014939
-0.12 0 0 0 0 0 0 0 0 0 -0.05 -1.05499e-06 -0.000345829 -0.0385453 0.0607393 -0.1404 -0.0118889 -5.02792e-06 -0.00149947 -0.173418 0.285322 -0.675442 0.013431
-0.11 0 0 0 0 0 0 0 0 0 -0.05 -1.0354e-06 -0.000339409 -0.0378296 0.0596482 -0.137839 -0.0115873 -5.02792e-06 -0.00149947 -0.173418 0.285322 -0.675442 0.013431
-0.10 0 0 0 0 0 0 0 0 0 -0.05 -1.01581e-06 -0.000332988 -0.037114 0.058557 -0.135278 -0.0112857 -5.02792e-06 -0.00149947 -0.173418 0.285322 -0.675442 0.013431
-0.09 0 0 0 0 0 0 0 0 0 -0.05 -9.96212e-07 -0.000326568 -0.0363984 0.0574659 -0.132717 -0.0109842 -5.02792e-06 -0.00149947 -0.173418 0.285322 -0.675442 0.013431
-0.08 0 0 0 0 0 0 0 0 0 -0.05 -9.76618e-07 -0.000320147 -0.0356828 0.0563748 -0.130155 -0.0106826 -5.02792e-06 -0.00149947 -0.173418 0.285322 -0.675442 0.013431
-0.07 0 0 0 0 0 0 0 0 0 -0.05 -9.57025e-07 -0.000313727 -0.0349671 0.0552836 -0.127594 -0.010381 -5.02792e-06 -0.00149947 -0.173418 0.285322 -0.675442 0.013431
-0.06 0 0 0 0 0 0 0 0 0 -0.05 1.02845e-316 3.39584e-314 3.79575e-312 -1.40724e-311 2.38988e-311 -1.70624e-311 -6.40434e-06 -0.0019507 -0.223711 0.365071 -0.859253 -0.000984709
-0.05 0 0 0 0 0 0 0 0 0 -0.05 1.02682e-316 3.39765e-314 3.79533e-312 -1.40691e-311 2.38874e-311 -1.70488e-311 -6.40434e-06 -0.0019507 -0.223711 0.365071 -0.859253 -0.000984708
-0.04 0 0 0 0 0 0 0 0 0 -0.05 1.02825e-316 3.39625e-314 3.79591e-312 -1.40729e-311 2.38992e-311 -1.70624e-311 -6.40434e-06 -0.0019507 -0.223711 0.365071 -0.859253 -0.000984708
-0.03 0 0 0 0 0 0 0 0 0 -0.05 1.02671e-316 3.39773e-314 3.79532e-312 -1.4069e-311 2.38874e-311 -1.70488e-311 -6.40434e-06 -0.0019507 -0.223711 0.365071 -0.859253 -0.000984708
-0.02 0 0 0 0 0 0 0 0 0 -0.05 1.0283e-316 3.39575e-314 3.7956e-312 -1.4072e-311 2.38983e-311 -1.70624e-311 -6.40434e-06 -0.0019507 -0.223711 0.365071 -0.859253 -0.000984708
-0.01 0 0 0 0 0 0 0 0 0 -0.05 1.02745e-316 3.39724e-314 3.79577e-312 -1.40714e-311 2.38937e-311 -1.70556e-311 -6.40434e-06 -0.0019507 -0.223711 0.365071 -0.859253 -0.000984708
-0.00 0 0 0 0 0 0 0 0 0 -0.05 1.02991e-316 3.39449e-314 3.79638e-312 -1.40764e-311 2.39107e-311 -1.7076e-311 -6.40434e-06 -0.0019507 -0.223711 0.365071 -0.859253 -0.000984709
0.01 0 0 0 0 0 0 0 0 0 -0.05 1.03074e-316 3.39341e-314 3.79648e-312 -1.40777e-311 2.3916e-311 -1.70828e-311 -6.40434e-06 -0.0019507 -0.223711 0.365071 -0.859253 -0.000984708
0.02 0 0 0 0 0 0 0 0 0 -0.05 1.02657e-316 3.39772e-314 3.79524e-312 -1.40687e-311 2.38871e-311 -1.70488e-311 -6.40434e-06 -0.0019507 -0.223711 0.365071 -0.859253 -0.000984708
0.03 0 0 0 0 0 0 0 0 0 -0.05 1.02921e-316 3.395e-314 3.79597e-312 -1.40741e-311 2.39044e-311 -1.70692e-311 -6.40434e-06 -0.0019507 -0.223711 0.365071 -0.859253 -0.000984708
0.04 0 0 0 0 0 0 0 0 0 -0.05 1.02566e-316 3.3989e-314 3.79516e-312 -1.40675e-311 2.38818e-311 -1.7042e-311 -6.40434e-06 -0.0019507 -0.223711 0.365071 -0.859253 -0.000984708
0.05 0 0 0 0 0 0 0 0 0 -0.05 1.02751e-316 3.39674e-314 3.79546e-312 -1.40705e-311 2.38928e-311 -1.70556e-311 -6.40434e-06 -0.0019507 -0.223711 0.365071 -0.859253 -0.000984708
0.06 0 0 0 0 0 0 0 0 0 -0.05 1.02749e-316 3.39678e-314 3.79548e-312 -1.40705e-311 2.38929e-311 -1.70556e-311 -6.40434e-06 -0.0019507 -0.223711 0.365071 -0.859253 -0.000984708
0.07 0 0 0 0 0 0 0 0 0 -0.05 9.57025e-07 0.000313727 0.0349671 -0.0552836 0.127594 0.010381 -5.02792e-06 -0.00149947 -0.173418 0.285322 -0.675442 0.013431
0.08 0 0 0 0 0 0 0 0 0 -0.05 9.76618e-07 0.000320147 0.0356828 -0.0563748 0.130155 0.0106826 -5.02792e-06 -0.00149947 -0.173418 0.285322 -0.675442 0.013431
0.09 0 0 0 0 0 0 0 0 0 -0.05 9.96212e-07 0.000326568 0.0363984 -0.0574659 0.132717 0.0109842 -5.02792e-06 -0.00149947 -0.173418 0.285322 -0.675442 0.013431
0.10 0 0 0 0 0 0 0 0 0 -0.05 1.01581e-06 0.000332988 0.037114 -0.058557 0.135278 0.0112857 -5.02792e-06 -0.00149947 -0.173418 0.285322 -0.675442 0.013431
0.11 0 0 0 0 0 0 0 0 0 -0.05 1.0354e-06 0.000339409 0.0378296 -0.0596482 0.137839 0.0115873 -5.02792e-06 -0.00149947 -0.173418 0.285322 -0.675442 0.013431
0.12 0 0 0 0 0 0 0 0 0 -0.05 1.05499e-06 0.000345829 0.0385453 -0.0607393 0.1404 0.0118889 -5.02792e-06 -0.00149947 -0.173418 0.285322 -0.675442 0.013431
0.13 0 0 0 0 0 0 0 0 0 -0.05 1.05699e-06 0.000346481 0.0386179 -0.0608074 0.140607 0.0120155 -5.01671e-06 -0.00149621 -0.173061 0.285126 -0.675277 0.014939
0.14 0 0 0 0 0 0 0 0 0 -0.05 1.05898e-06 0.000347133 0.0386905 -0.0608755 0.140814 0.012142 -5.01671e-06 -0.00149621 -0.173061 0.285126 -0.675277 0.014939
0.15 0 0 0 0 0 0 0 0 0 -0.05 1.06098e-06 0.000347785 0.0387632 -0.0609435 0.141021 0.0122685 -5.01671e-06 -0.00149621 -0.173061 0.285126 -0.675277 0.014939
0.16 0 0 0 0 0 0 0 0 0 -0.05 1.06297e-06 0.000348437 0.0388358 -0.0610116 0.141227 0.012395 -5.01671e-06 -0.00149621 -0.173061 0.285126 -0.675277 0.014939
0.17 0 0 0 0 0 0 0 0 0 -0.05 1.06497e-06 0.000349089 0.0389084 -0.0610797 0.141434 0.0125215 -5.01671e-06 -0.00149621 -0.173061 0.285126 -0.675277 0.014939
0.18 0 0 0 0 0 0 0 0 0 -0.05 1.06696e-06 0.000349741 0.038981 -0.0611477 0.141641 0.0126481 -5.01671e-06 -0.00149621 -0.173061 0.285126 -0.675277 0.014939
0.19 0 0 0 0 0 0 0 0 0 -0.05 1.06671e-06 0.000349741 0.0389823 -0.0611766 0.141815 0.012473 -5.01548e-06 -0.00149621 -0.173068 0.28527 -0.676146 0.0158144
0.20 0 0 0 0 0 0 0 0 0 -0.05 1.06647e-06 0.000349742 0.0389836 -0.0612055 0.141989 0.0122979 -5.01548e-06 -0.00149621 -0.173068 0.28527 -0.676146 0.0158144
0 0 0 -0.18 0 0 0 0 0 0 -0.05 -0.0017699 -0.171141 1.0422 -2.91533 4.46045 -3.03148 -6.40434e-06 -0.0019507 -0.223711 0.365071 -0.859253 -0.000984708
0 0 0 -0.16 0 0 0 0 0 0 -0.05 -0.00157325 -0.152125 0.926401 -2.5914 3.96485 -2.69465 -6.40434e-06 -0.0019507 -0.223711 0.365071 -0.859253 -0.000984708
0 0 0 -0.14 0 0 0 0 0 0 -0.05 -0.00137659 -0.13311 0.810601 -2.26748 3.46924 -2.35782 -6.40434e-06 -0.0019507 -0.223711 0.365071 -0.859253 -0.000984708
0 0 0 -0.12 0 0 0 0 0 0 -0.05 -0.00117993 -0.114094 0.694801 -1.94355 2.97364 -2.02099 -6.40434e-06 -0.0019507 -0.223711 0.365071 -0.859253 -0.000984708
0 0 0 -0.10 0 0 0 0 0 0 -0.05 -0.000983279 -0.0950783 0.579001 -1.61963 2.47803 -1.68416 -6.40434e-06 -0.0019507 -0.223711 0.365071 -0.859253 -0.000984708
0 0 0 -0.08 0 0 0 0 0 0 -0.05 -0.000786623 -0.0760626 0.463201 -1.2957 1.98242 -1.34733 -6.40434e-06 -0.0019507 -0.223711 0.365071 -0.859253 -0.000984708
0 0 0 -0.06 0 0 0 0 0 0 -0.05 -0.000589967 -0.057047 0.3474 -0.971776 1.48682 -1.01049 -6.40434e-06 -0.0019507 -0.223711 0.365071 -0.859253 -0.000984708
0 0 0 -0.04 0 0 0 0 0 0 -0.05 -0.000393312 -0.0380313 0.2316 -0.647851 0.991212 -0.673663 -6.40434e-06 -0.0019507 -0.223711 0.365071 -0.859253 -0.000984708
0 0 0 -0.02 0 0 0 0 0 0 -0.05 -0.000196656 -0.0190157 0.1158 -0.323925 0.495606 -0.336832 -6.40434e-06 -0.0019507 -0.223711 0.365071 -0.859253 -0.000984708
