tar_x(m) tar_y(m) tar_th(deg) vel_x(m/s) vel_y(m/s) cog_x(m) cog_y(m) L(0)R(1) STATE(0-2) ZMP_x(m) ZMP_y(m) ax0 ax1 ax2 ax3 ax4 ax5 ay0 ay1 ay2 ay3 ay4 ay5
0.12 0 -90.0 -0.40 0 0.036 0 0 0 0 -0.05 0.032095 -0.37781 1.70803 -4.1931 6.10891 -3.93511 -5.04076e-06 -0.00150462 -0.174007 0.286613 -0.67962 0.0154068
0.12 0 -90.0 -0.40 0 0.042 0 0 0 0 -0.05 0.0380995 -0.37745 1.60041 -3.80235 5.45223 -3.47028 -5.04076e-06 -0.00150462 -0.174007 0.286613 -0.67962 0.0154068
0.12 0 -90.0 -0.40 0 0.048 0 0 0 0 -0.05 0.044104 -0.377089 1.49279 -3.41161 4.79556 -3.00546 -5.04076e-06 -0.00150462 -0.174007 0.286613 -0.67962 0.0154068
0.12 0 -90.0 -0.40 0 0.054 0 0 0 0 -0.05 0.0501085 -0.376728 1.38518 -3.02086 4.13888 -2.54063 -5.04076e-06 -0.00150462 -0.174007 0.286613 -0.67962 0.0154068
0.12 0 -90.0 -0.40 0 0.060 0 0 0 0 -0.05 0.056113 -0.376367 1.27756 -2.63012 3.48221 -2.0758 -5.04076e-06 -0.00150462 -0.174007 0.286613 -0.67962 0.0154068
0.12 0 -90.0 -0.36 0 0.030 0 0 0 0 -0.05 0.0264838 -0.34014 1.58404 -3.93599 5.77437 -3.72627 -5.04076e-06 -0.00150462 -0.174007 0.286613 -0.67962 0.0154068
0.12 0 -90.0 -0.36 0 0.036 0 0 0 0 -0.05 0.0324883 -0.339779 1.47643 -3.54525 5.11769 -3.26144 -5.04076e-06 -0.00150462 -0.174007 0.286613 -0.67962 0.0154068
0.12 0 -90.0 -0.36 0 0.042 0 0 0 0 -0.05 0.0384928 -0.339418 1.36881 -3.1545 4.46102 -2.79662 -5.04076e-06 -0.00150462 -0.174007 0.286613 -0.67962 0.0154068
0.12 0 -90.0 -0.36 0 0.048 0 0 0 0 -0.05 0.0444973 -0.339058 1.26119 -2.76376 3.80434 -2.33179 -5.04076e-06 -0.00150462 -0.174007 0.286613 -0.67962 0.0154068
0.12 0 -90.0 -0.36 0 0.054 0 0 0 0 -0.05 0.0505018 -0.338697 1.15358 -2.37301 3.14767 -1.86697 -5.04076e-06 -0.00150462 -0.174007 0.286613 -0.67962 0.0154068
0.12 0 -90.0 -0.36 0 0.060 0 0 0 0 -0.05 0.0565063 -0.338336 1.04596 -1.98227 2.491 -1.40214 -5.04076e-06 -0.00150462 -0.174007 0.286613 -0.67962 0.0154068
0.12 0 -90.0 -0.32 0 0.024 0 0 0 0 -0.05 0.0208726 -0.302469 1.46006 -3.67889 5.43983 -3.51743 -5.04076e-06 -0.00150462 -0.174007 0.286613 -0.67962 0.0154068
0.12 0 -90.0 -0.32 0 0.030 0 0 0 0 -0.05 0.0268771 -0.302108 1.35244 -3.28814 4.78316 -3.05261 -5.04076e-06 -0.00150462 -0.174007 0.286613 -0.67962 0.0154068
0.12 0 -90.0 -0.32 0 0.036 0 0 0 0 -0.05 0.0328816 -0.301748 1.24483 -2.8974 4.12648 -2.58778 -5.04076e-06 -0.00150462 -0.174007 0.286613 -0.67962 0.0154068
0.12 0 -90.0 -0.32 0 0.042 0 0 0 0 -0.05 0.0388861 -0.301387 1.13721 -2.50665 3.46981 -2.12296 -5.04076e-06 -0.00150462 -0.174007 0.286613 -0.67962 0.0154068
0.12 0 -90.0 -0.32 0 0.048 0 0 0 0 -0.05 0.0448906 -0.301026 1.02959 -2.11591 2.81313 -1.65813 -5.04076e-06 -0.00150462 -0.174007 0.286613 -0.67962 0.0154068
