tar_x(m) tar_y(m) tar_th(deg) vel_x(m/s) vel_y(m/s) cog_x(m) cog_y(m) L(0)R(1) STATE(0-2) ZMP_x(m) ZMP_y(m) ax0 ax1 ax2 ax3 ax4 ax5 ay0 ay1 ay2 ay3 ay4 ay5
0.30 0 -45.0 0 0 0 0 0 0 0 -0.05 1.04024e-06 0.000341047 0.0380128 -0.0595738 0.138164 0.0123667 -5.03573e-06 -0.00150297 -0.173824 0.286367 -0.679003 0.015558
0.30 0 -40.0 0 0 0 0 0 0 0 -0.05 1.04323e-06 0.000342077 0.0381284 -0.0597781 0.138695 0.0122825 -5.03362e-06 -0.00150227 -0.173746 0.28626 -0.678732 0.0156095
0.30 0 -35.0 0 0 0 0 0 0 0 -0.05 1.04618e-06 0.000343091 0.0382423 -0.05998 0.139219 0.0121973 -5.03147e-06 -0.00150156 -0.173667 0.286149 -0.678448 0.0156552
0.30 0 -30.0 0 0 0 0 0 0 0 -0.05 1.04908e-06 0.000344089 0.0383543 -0.0601795 0.139737 0.0121113 -5.02928e-06 -0.00150084 -0.173586 0.286034 -0.678153 0.0156952
0.30 0 -25.0 0 0 0 0 0 0 0 -0.05 1.05193e-06 0.000345072 0.0384646 -0.0603765 0.140248 0.0120249 -5.02706e-06 -0.0015001 -0.173503 0.285916 -0.677846 0.0157293
0.30 0 -20.0 0 0 0 0 0 0 0 -0.05 1.05473e-06 0.000346038 0.0385731 -0.0605709 0.140751 0.0119385 -5.02481e-06 -0.00149934 -0.173419 0.285793 -0.677527 0.0157577
0.30 0 -15.0 0 0 0 0 0 0 0 -0.05 1.05749e-06 0.000346989 0.0386798 -0.0607626 0.141247 0.0118522 -5.02253e-06 -0.00149858 -0.173333 0.285668 -0.677198 0.0157803
0.30 0 -10.0 0 0 0 0 0 0 0 -0.05 1.0602e-06 0.000347923 0.0387846 -0.0609516 0.141735 0.0117664 -5.02021e-06 -0.0014978 -0.173246 0.285539 -0.676858 0.0157972
0.30 0 -5.0 0 0 0 0 0 0 0 -0.05 1.06286e-06 0.00034884 0.0388876 -0.0611378 0.142214 0.0116814 -5.01786e-06 -0.00149701 -0.173158 0.285406 -0.676507 0.0158085
0.30 0 0.0 0 0 0 0 0 0 0 -0.05 1.06548e-06 0.000349742 0.0389887 -0.0613211 0.142684 0.0115976 -5.01548e-06 -0.00149621 -0.173068 0.28527 -0.676146 0.0158144
0.30 0 5.0 0 0 0 0 0 0 0 -0.05 1.06805e-06 0.000350626 0.039088 -0.0615014 0.143145 0.0115151 -5.01308e-06 -0.00149539 -0.172977 0.285131 -0.675775 0.0158147
0.30 0 10.0 0 0 0 0 0 0 0 -0.05 1.07058e-06 0.000351495 0.0391855 -0.0616787 0.143597 0.0114344 -5.01064e-06 -0.00149457 -0.172884 0.284988 -0.675394 0.0158098
0.30 0 15.0 0 0 0 0 0 0 0 -0.05 1.07306e-06 0.000352346 0.039281 -0.0618529 0.144039 0.0113556 -5.00818e-06 -0.00149373 -0.17279 0.284843 -0.675004 0.0157997
0.30 0 20.0 0 0 0 0 0 0 0 -0.05 1.07549e-06 0.000353181 0.0393747 -0.0620239 0.144472 0.011279 -5.00569e-06 -0.00149288 -0.172695 0.284694 -0.674604 0.0157846
0.30 0 25.0 0 0 0 0 0 0 0 -0.05 1.07788e-06 0.000353999 0.0394664 -0.0621917 0.144894 0.011205 -5.00318e-06 -0.00149202 -0.172599 0.284543 -0.674196 0.0157646
0.30 0 30.0 0 0 0 0 0 0 0 -0.05 1.08022e-06 0.000354801 0.0395563 -0.0623561 0.145306 0.0111337 -5.00065e-06 -0.00149116 -0.172502 0.284388 -0.673779 0.0157399
0.30 0 35.0 0 0 0 0 0 0 0 -0.05 1.08252e-06 0.000355586 0.0396443 -0.0625173 0.145707 0.0110654 -4.99809e-06 -0.00149028 -0.172404 0.284231 -0.673355 0.0157107
0.30 0 40.0 0 0 0 0 0 0 0 -0.05 1.08477e-06 0.000356354 0.0397304 -0.0626751 0.146097 0.0110003 -4.9955e-06 -0.00148939 -0.172304 0.284071 -0.672922 0.0156771
0.30 0 45.0 0 0 0 0 0 0 0 -0.05 1.08698e-06 0.000357105 0.0398146 -0.0628294 0.146477 0.0109386 -4.9929e-06 -0.0014885 -0.172204 0.283909 -0.672482 0.0156395
0.33 0 -45.0 0 0 0 0 0 0 0 -0.05 1.04471e-06 0.000342586 0.0381856 -0.0598793 0.138958 0.01224 -5.03255e-06 -0.00150192 -0.173706 0.286205 -0.678591 0.0156331
0.33 0 -40.0 0 0 0 0 0 0 0 -0.05 1.04715e-06 0.000343425 0.0382798 -0.0600467 0.139393 0.0121687 -5.03075e-06 -0.00150132 -0.17364 0.286111 -0.678351 0.0156692
0.33 0 -35.0 0 0 0 0 0 0 0 -0.05 1.04955e-06 0.000344254 0.0383728 -0.0602125 0.139823 0.0120969 -5.02892e-06 -0.00150071 -0.173572 0.286014 -0.678102 0.0157013
0.33 0 -30.0 0 0 0 0 0 0 0 -0.05 1.05193e-06 0.000345072 0.0384646 -0.0603765 0.140248 0.0120249 -5.02706e-06 -0.0015001 -0.173503 0.285916 -0.677846 0.0157293
0.33 0 -25.0 0 0 0 0 0 0 0 -0.05 1.05427e-06 0.000345878 0.0385551 -0.0605387 0.140668 0.0119529 -5.02519e-06 -0.00149947 -0.173433 0.285814 -0.677581 0.0157533
0.33 0 -20.0 0 0 0 0 0 0 0 -0.05 1.05657e-06 0.000346674 0.0386444 -0.060699 0.141083 0.0118809 -5.02329e-06 -0.00149884 -0.173362 0.28571 -0.677309 0.0157734
0.33 0 -15.0 0 0 0 0 0 0 0 -0.05 1.05885e-06 0.000347458 0.0387324 -0.0608575 0.141492 0.0118092 -5.02137e-06 -0.00149819 -0.17329 0.285604 -0.677029 0.0157895
0.33 0 -10.0 0 0 0 0 0 0 0 -0.05 1.06109e-06 0.00034823 0.0388191 -0.061014 0.141895 0.011738 -5.01943e-06 -0.00149754 -0.173217 0.285495 -0.676742 0.0158016
0.33 0 -5.0 0 0 0 0 0 0 0 -0.05 1.0633e-06 0.000348992 0.0389046 -0.0611686 0.142293 0.0116674 -5.01747e-06 -0.00149688 -0.173143 0.285384 -0.676448 0.0158099
0.33 0 0.0 0 0 0 0 0 0 0 -0.05 1.06548e-06 0.000349742 0.0389887 -0.0613211 0.142684 0.0115976 -5.01548e-06 -0.00149621 -0.173068 0.28527 -0.676146 0.0158144
0.33 0 5.0 0 0 0 0 0 0 0 -0.05 1.06763e-06 0.00035048 0.0390716 -0.0614716 0.143069 0.0115288 -5.01348e-06 -0.00149553 -0.172992 0.285154 -0.675838 0.015815
