tar_x(m) tar_y(m) tar_th(deg) vel_x(m/s) vel_y(m/s) cog_x(m) cog_y(m) L(0)R(1) STATE(0-2) ZMP_x(m) ZMP_y(m) ZMP_th(deg) ax0 ax1 ax2 ax3 ax4 ax5 ay0 ay1 ay2 ay3 ay4 ay5
0.3 0 1 0.2163 -0.2437 -0.0292 0.0019 0 1 0.0591182 0.0510395 0.0174533 -0.0270875 0.206218 -0.462746 1.16777 -1.14312 1.38224 -0.000446505 -0.225358 0.852591 -1.17867 1.80422 -0.104718
0.3 0 2 0.2163 -0.2437 -0.0292 0.0019 0 1 0.0582185 0.0520635 0.0349066 -0.0270876 0.206195 -0.465381 1.17213 -1.1535 1.38262 -0.000446373 -0.225318 0.857209 -1.18621 1.82195 -0.104687
0.3 0 3 0.2163 -0.2437 -0.0292 0.0019 0 1 0.057301 0.0530716 0.0523599 -0.0270876 0.206172 -0.468095 1.17662 -1.16418 1.38299 -0.000446242 -0.225278 0.86178 -1.19366 1.8395 -0.10465
0.3 0 4 0.2163 -0.2437 -0.0292 0.0019 0 1 0.056366 0.0540636 0.0698132 -0.0270877 0.206148 -0.470889 1.18124 -1.17517 1.38337 -0.000446113 -0.225238 0.866303 -1.20104 1.85686 -0.104606
0.3 0 5 0.2163 -0.2437 -0.0292 0.0019 0 1 0.0554139 0.0550391 0.0872665 -0.0270878 0.206123 -0.473762 1.18599 -1.18646 1.38375 -0.000445985 -0.225199 0.870777 -1.20834 1.87402 -0.104556
0.3 0 6 0.2163 -0.2437 -0.0292 0.0019 0 1 0.0544449 0.0559978 0.10472 -0.0270879 0.206098 -0.476712 1.19087 -1.19804 1.38412 -0.000445858 -0.225161 0.8752 -1.21555 1.89099 -0.104499
0.3 0 7 0.2163 -0.2437 -0.0292 0.0019 0 1 0.0534593 0.0569395 0.122173 -0.027088 0.206072 -0.479738 1.19587 -1.20992 1.38449 -0.000445733 -0.225123 0.87957 -1.22267 1.90774 -0.104436
0.3 0 8 0.2163 -0.2437 -0.0292 0.0019 0 1 0.0524574 0.0578638 0.139626 -0.0270881 0.206045 -0.482841 1.201 -1.22209 1.38487 -0.00044561 -0.225085 0.883888 -1.22971 1.92429 -0.104366
0.3 0 9 0.2163 -0.2437 -0.0292 0.0019 0 1 0.0514396 0.0587705 0.15708 -0.0270882 0.206018 -0.486019 1.20624 -1.23455 1.38524 -0.000445488 -0.225048 0.88815 -1.23666 1.94063 -0.10429
 
0.3 0 1 0.2545 0.2419 -0.0341 0.0009 1 1 0.0608635 -0.0489452 0.0174533 -0.0316154 0.242286 -0.591013 1.45903 -1.53363 1.64522 0.00323118 0.223897 -0.883019 1.31657 -2.03008 0.291363
0.3 0 2 0.2545 0.2419 -0.0341 0.0009 1 1 0.0617084 -0.0478756 0.0349066 -0.0316153 0.242307 -0.588624 1.45507 -1.5242 1.64485 0.00323131 0.223938 -0.87827 1.30882 -2.01183 0.291373
0.3 0 3 0.2545 0.2419 -0.0341 0.0009 1 1 0.0625346 -0.0467913 0.0523599 -0.0316153 0.242326 -0.586318 1.45125 -1.51509 1.64447 0.00323145 0.22398 -0.873479 1.301 -1.99342 0.291378
0.3 0 4 0.2545 0.2419 -0.0341 0.0009 1 1 0.0633417 -0.0456928 0.0698132 -0.0316152 0.242345 -0.584097 1.44756 -1.5063 1.64409 0.00323159 0.224022 -0.868649 1.29312 -1.97485 0.291375
0.3 0 5 0.2545 0.2419 -0.0341 0.0009 1 1 0.0641295 -0.0445804 0.0872665 -0.0316151 0.242364 -0.581959 1.44401 -1.49783 1.64371 0.00323173 0.224064 -0.863781 1.28517 -1.95613 0.291366
0.3 0 6 0.2545 0.2419 -0.0341 0.0009 1 1 0.0648977 -0.0434544 0.10472 -0.0316151 0.242381 -0.579907 1.4406 -1.4897 1.64333 0.00323187 0.224107 -0.858877 1.27716 -1.93727 0.29135
0.3 0 7 0.2545 0.2419 -0.0341 0.0009 1 1 0.0656462 -0.0423151 0.122173 -0.031615 0.242398 -0.577941 1.43733 -1.48189 1.64295 0.00323201 0.22415 -0.853937 1.26909 -1.91827 0.291328
0.3 0 8 0.2545 0.2419 -0.0341 0.0009 1 1 0.0663747 -0.041163 0.139626 -0.031615 0.242414 -0.576062 1.4342 -1.47442 1.64257 0.00323215 0.224193 -0.848964 1.26097 -1.89913 0.291299
0.3 0 9 0.2545 0.2419 -0.0341 0.0009 1 1 0.067083 -0.0399983 0.15708 -0.0316149 0.242429 -0.57427 1.43121 -1.46728 1.6422 0.0032323 0.224237 -0.843959 1.25279 -1.87987 0.291263
