tar_x(m),tar_y(m),tar_th(deg),vel_x(m/s),vel_y(m/s),cog_x(m),cog_y(m),L(0)R(1),STATE(0-2),ZMP_x(m),ZMP_y(m),ZMP_th(deg),ax0,ax1,ax2,ax3,ax4,ax5,ay0,ay1,ay2,ay3,ay4,ay5
0.3,0,39,-0.4,-0.12,-0.06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.4,-0.12,-0.054,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.4,-0.12,-0.048,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.4,-0.12,-0.042,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.4,-0.12,-0.036,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.4,-0.12,-0.03,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.4,-0.12,-0.024,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.4,-0.12,-0.018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.4,-0.12,-0.012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.4,-0.12,-0.006,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.4,-0.12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.4,-0.12,0.006,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.4,-0.12,0.012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.4,-0.12,0.018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.4,-0.12,0.024,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.4,-0.12,0.03,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.4,-0.12,0.036,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.4,-0.12,0.042,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.4,-0.12,0.048,0,0,1,0.0514396,0.0587705,0.15708,0.0441108,-0.374992,1.7329,-3.80295,5.71568,-3.00125,-0.00112945,-0.107172,0.248221,0.57579,-0.76027,1.8416
0.3,0,39,-0.4,-0.12,0.054,0,0,1,0.0514396,0.0587705,0.15708,0.0501153,-0.374632,1.62529,-3.41221,5.05901,-2.53642,-0.00112945,-0.107172,0.248221,0.57579,-0.76027,1.8416
0.3,0,39,-0.4,-0.12,0.06,0,0,1,0.0514396,0.0587705,0.15708,0.0561198,-0.374271,1.51767,-3.02146,4.40233,-2.0716,-0.00112945,-0.107172,0.248221,0.57579,-0.76027,1.8416
,,,,,,,,,,,,,,,,,,,,,,,
0.3,0,39,-0.36,-0.12,-0.06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.36,-0.12,-0.054,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.36,-0.12,-0.048,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.36,-0.12,-0.042,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.36,-0.12,-0.036,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.36,-0.12,-0.03,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.36,-0.12,-0.024,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.36,-0.12,-0.018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.36,-0.12,-0.012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.36,-0.12,-0.006,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.36,-0.12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.36,-0.12,0.006,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.36,-0.12,0.012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.36,-0.12,0.018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.36,-0.12,0.024,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.36,-0.12,0.03,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.36,-0.12,0.036,0,0,1,0.0514396,0.0587705,0.15708,0.0324951,-0.337683,1.71654,-3.93659,6.03782,-3.25724,-0.00112945,-0.107172,0.248221,0.57579,-0.76027,1.8416
0.3,0,39,-0.36,-0.12,0.042,0,0,1,0.0514396,0.0587705,0.15708,0.0384996,-0.337322,1.60892,-3.54585,5.38115,-2.79241,-0.00112945,-0.107172,0.248221,0.57579,-0.76027,1.8416
0.3,0,39,-0.36,-0.12,0.048,0,0,1,0.0514396,0.0587705,0.15708,0.0445041,-0.336961,1.5013,-3.1551,4.72447,-2.32758,-0.00112945,-0.107172,0.248221,0.57579,-0.76027,1.8416
0.3,0,39,-0.36,-0.12,0.054,0,0,1,0.0514396,0.0587705,0.15708,0.0505086,-0.3366,1.39369,-2.76436,4.0678,-1.86276,-0.00112945,-0.107172,0.248221,0.57579,-0.76027,1.8416
0.3,0,39,-0.36,-0.12,0.06,0,0,1,0.0514396,0.0587705,0.15708,0.0565132,-0.33624,1.28607,-2.37361,3.41112,-1.39793,-0.00112945,-0.107172,0.248221,0.57579,-0.76027,1.8416
,,,,,,,,,,,,,,,,,,,,,,,
0.3,0,39,-0.32,-0.12,-0.06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.32,-0.12,-0.054,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,39,-0.32,-0.12,-0.048,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
