tar_x(m) tar_y(m) tar_th(deg) vel_x(m/s) vel_y(m/s) cog_x(m) cog_y(m) L(0)R(1) STATE(0-2) ZMP_x(m) ZMP_y(m) ax0 ax1 ax2 ax3 ax4 ax5 ay0 ay1 ay2 ay3 ay4 ay5
-0.20 0 0 0 0 0 0 0 0 0 0.05 -1.06548e-06 -0.000349742 -0.0389887 0.0613211 -0.142684 -0.0115976 5.01548e-06 0.00149621 0.173068 -0.28527 0.676146 -0.0158144
-0.19 0 0 0 0 0 0 0 0 0 0.05 -1.06548e-06 -0.000349742 -0.0389887 0.0613211 -0.142684 -0.0115976 5.01548e-06 0.00149621 0.173068 -0.28527 0.676146 -0.0158144
-0.18 0 0 0 0 0 0 0 0 0 0.05 -1.06696e-06 -0.000349741 -0.038981 0.0611477 -0.141641 -0.0126481 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
-0.17 0 0 0 0 0 0 0 0 0 0.05 -1.06696e-06 -0.000349741 -0.038981 0.0611477 -0.141641 -0.0126481 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
-0.16 0 0 0 0 0 0 0 0 0 0.05 -1.06696e-06 -0.000349741 -0.038981 0.0611477 -0.141641 -0.0126481 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
-0.15 0 0 0 0 0 0 0 0 0 0.05 -1.06696e-06 -0.000349741 -0.038981 0.0611477 -0.141641 -0.0126481 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
-0.14 0 0 0 0 0 0 0 0 0 0.05 -1.06696e-06 -0.000349741 -0.038981 0.0611477 -0.141641 -0.0126481 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
-0.13 0 0 0 0 0 0 0 0 0 0.05 -1.06696e-06 -0.000349741 -0.038981 0.0611477 -0.141641 -0.0126481 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
-0.12 0 0 0 0 0 0 0 0 0 0.05 -1.05499e-06 -0.000345829 -0.0385453 0.0607393 -0.1404 -0.0118889 5.02792e-06 0.00149947 0.173418 -0.285322 0.675442 -0.013431
-0.11 0 0 0 0 0 0 0 0 0 0.05 -1.05499e-06 -0.000345829 -0.0385453 0.0607393 -0.1404 -0.0118889 5.02792e-06 0.00149947 0.173418 -0.285322 0.675442 -0.013431
-0.10 0 0 0 0 0 0 0 0 0 0.05 -1.05499e-06 -0.000345829 -0.0385453 0.0607393 -0.1404 -0.0118889 5.02792e-06 0.00149947 0.173418 -0.285322 0.675442 -0.013431
-0.09 0 0 0 0 0 0 0 0 0 0.05 -1.05499e-06 -0.000345829 -0.0385453 0.0607393 -0.1404 -0.0118889 5.02792e-06 0.00149947 0.173418 -0.285322 0.675442 -0.013431
-0.08 0 0 0 0 0 0 0 0 0 0.05 -1.05499e-06 -0.000345829 -0.0385453 0.0607393 -0.1404 -0.0118889 5.02792e-06 0.00149947 0.173418 -0.285322 0.675442 -0.013431
-0.07 0 0 0 0 0 0 0 0 0 0.05 -1.05499e-06 -0.000345829 -0.0385453 0.0607393 -0.1404 -0.0118889 5.02792e-06 0.00149947 0.173418 -0.285322 0.675442 -0.013431
-0.06 0 0 0 0 0 0 0 0 0 0.05 -9.37431e-07 -0.000307306 -0.0342515 0.0541925 -0.125033 -0.0100794 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
-0.05 0 0 0 0 0 0 0 0 0 0.05 -7.81193e-07 -0.000256088 -0.0285429 0.0451604 -0.104194 -0.00839949 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
-0.04 0 0 0 0 0 0 0 0 0 0.05 -6.24954e-07 -0.000204871 -0.0228343 0.0361283 -0.0833554 -0.00671959 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
-0.03 0 0 0 0 0 0 0 0 0 0.05 -4.68716e-07 -0.000153653 -0.0171258 0.0270962 -0.0625166 -0.00503969 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
-0.02 0 0 0 0 0 0 0 0 0 0.05 -3.12477e-07 -0.000102435 -0.0114172 0.0180642 -0.0416777 -0.0033598 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
-0.01 0 0 0 0 0 0 0 0 0 0.05 -1.56239e-07 -5.12177e-05 -0.00570859 0.00903208 -0.0208389 -0.0016799 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
-0.00 0 0 0 0 0 0 0 0 0 0.05 1.02827e-316 3.39613e-314 3.79584e-312 -1.40727e-311 2.3899e-311 -1.70624e-311 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.01 0 0 0 0 0 0 0 0 0 0.05 1.56239e-07 5.12177e-05 0.00570859 -0.00903208 0.0208389 0.0016799 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.02 0 0 0 0 0 0 0 0 0 0.05 3.12477e-07 0.000102435 0.0114172 -0.0180642 0.0416777 0.0033598 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.03 0 0 0 0 0 0 0 0 0 0.05 4.68716e-07 0.000153653 0.0171258 -0.0270962 0.0625166 0.00503969 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.04 0 0 0 0 0 0 0 0 0 0.05 6.24954e-07 0.000204871 0.0228343 -0.0361283 0.0833554 0.00671959 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.05 0 0 0 0 0 0 0 0 0 0.05 7.81193e-07 0.000256088 0.0285429 -0.0451604 0.104194 0.00839949 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.06 0 0 0 0 0 0 0 0 0 0.05 9.37431e-07 0.000307306 0.0342515 -0.0541925 0.125033 0.0100794 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.07 0 0 0 0 0 0 0 0 0 0.05 1.05499e-06 0.000345829 0.0385453 -0.0607393 0.1404 0.0118889 5.02792e-06 0.00149947 0.173418 -0.285322 0.675442 -0.013431
0.08 0 0 0 0 0 0 0 0 0 0.05 1.05499e-06 0.000345829 0.0385453 -0.0607393 0.1404 0.0118889 5.02792e-06 0.00149947 0.173418 -0.285322 0.675442 -0.013431
0.09 0 0 0 0 0 0 0 0 0 0.05 1.05499e-06 0.000345829 0.0385453 -0.0607393 0.1404 0.0118889 5.02792e-06 0.00149947 0.173418 -0.285322 0.675442 -0.013431
0.10 0 0 0 0 0 0 0 0 0 0.05 1.05499e-06 0.000345829 0.0385453 -0.0607393 0.1404 0.0118889 5.02792e-06 0.00149947 0.173418 -0.285322 0.675442 -0.013431
0.11 0 0 0 0 0 0 0 0 0 0.05 1.05499e-06 0.000345829 0.0385453 -0.0607393 0.1404 0.0118889 5.02792e-06 0.00149947 0.173418 -0.285322 0.675442 -0.013431
0.12 0 0 0 0 0 0 0 0 0 0.05 1.05499e-06 0.000345829 0.0385453 -0.0607393 0.1404 0.0118889 5.02792e-06 0.00149947 0.173418 -0.285322 0.675442 -0.013431
0.13 0 0 0 0 0 0 0 0 0 0.05 1.06696e-06 0.000349741 0.038981 -0.0611477 0.141641 0.0126481 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.14 0 0 0 0 0 0 0 0 0 0.05 1.06696e-06 0.000349741 0.038981 -0.0611477 0.141641 0.0126481 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.15 0 0 0 0 0 0 0 0 0 0.05 1.06696e-06 0.000349741 0.038981 -0.0611477 0.141641 0.0126481 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.16 0 0 0 0 0 0 0 0 0 0.05 1.06696e-06 0.000349741 0.038981 -0.0611477 0.141641 0.0126481 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.17 0 0 0 0 0 0 0 0 0 0.05 1.06696e-06 0.000349741 0.038981 -0.0611477 0.141641 0.0126481 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.18 0 0 0 0 0 0 0 0 0 0.05 1.06696e-06 0.000349741 0.038981 -0.0611477 0.141641 0.0126481 5.01671e-06 0.00149621 0.173061 -0.285126 0.675277 -0.014939
0.19 0 0 0 0 0 0 0 0 0 0.05 1.06548e-06 0.000349742 0.0389887 -0.0613211 0.142684 0.0115976 5.01548e-06 0.00149621 0.173068 -0.28527 0.676146 -0.0158144
0.20 0 0 0 0 0 0 0 0 0 0.05 1.06548e-06 0.000349742 0.0389887 -0.0613211 0.142684 0.0115976 5.01548e-06 0.00149621 0.173068 -0.28527 0.676146 -0.0158144
0 0 0 -0.18 0 0 0 0 0 0 0.05 -0.0017699 -0.171141 1.0422 -2.91533 4.46045 -3.03148 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0 0 0 -0.16 0 0 0 0 0 0 0.05 -0.00157325 -0.152125 0.926401 -2.5914 3.96485 -2.69465 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0 0 0 -0.14 0 0 0 0 0 0 0.05 -0.00137659 -0.13311 0.810601 -2.26748 3.46924 -2.35782 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0 0 0 -0.12 0 0 0 0 0 0 0.05 -0.00117993 -0.114094 0.694801 -1.94355 2.97364 -2.02099 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0 0 0 -0.10 0 0 0 0 0 0 0.05 -0.000983279 -0.0950783 0.579001 -1.61963 2.47803 -1.68416 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0 0 0 -0.08 0 0 0 0 0 0 0.05 -0.000786623 -0.0760626 0.463201 -1.2957 1.98242 -1.34733 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0 0 0 -0.06 0 0 0 0 0 0 0.05 -0.000589967 -0.057047 0.3474 -0.971776 1.48682 -1.01049 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0 0 0 -0.04 0 0 0 0 0 0 0.05 -0.000393312 -0.0380313 0.2316 -0.647851 0.991212 -0.673663 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0 0 0 -0.02 0 0 0 0 0 0 0.05 -0.000196656 -0.0190157 0.1158 -0.323925 0.495606 -0.336832 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0 0 0 -0.00 0 0 0 0 0 0 0.05 1.02758e-316 3.39661e-314 3.79542e-312 -1.40704e-311 2.38927e-311 -1.70556e-311 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0 0 0 0.02 0 0 0 0 0 0 0.05 0.000196656 0.0190157 -0.1158 0.323925 -0.495606 0.336832 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0 0 0 0.04 0 0 0 0 0 0 0.05 0.000393312 0.0380313 -0.2316 0.647851 -0.991212 0.673663 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0 0 0 0.06 0 0 0 0 0 0 0.05 0.000589967 0.057047 -0.3474 0.971776 -1.48682 1.01049 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0 0 0 0.08 0 0 0 0 0 0 0.05 0.000786623 0.0760626 -0.463201 1.2957 -1.98242 1.34733 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0 0 0 0.10 0 0 0 0 0 0 0.05 0.000983279 0.0950783 -0.579001 1.61963 -2.47803 1.68416 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0 0 0 0.12 0 0 0 0 0 0 0.05 0.00117993 0.114094 -0.694801 1.94355 -2.97364 2.02099 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0 0 0 0.14 0 0 0 0 0 0 0.05 0.00137659 0.13311 -0.810601 2.26748 -3.46924 2.35782 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0 0 0 0.16 0 0 0 0 0 0 0.05 0.00157325 0.152125 -0.926401 2.5914 -3.96485 2.69465 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0 0 0 0.18 0 0 0 0 0 0 0.05 0.0017699 0.171141 -1.0422 2.91533 -4.46045 3.03148 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0 0 0 0 0 -0.030 0 0 0 0 0.05 -0.0300225 -0.00180367 0.538081 -1.95373 3.28337 -2.32413 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0 0 0 0 0 -0.027 0 0 0 0 0.05 -0.0270203 -0.0016233 0.484273 -1.75835 2.95504 -2.09172 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0 0 0 0 0 -0.024 0 0 0 0 0.05 -0.024018 -0.00144294 0.430465 -1.56298 2.6267 -1.8593 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0 0 0 0 0 -0.021 0 0 0 0 0.05 -0.0210158 -0.00126257 0.376657 -1.36761 2.29836 -1.62689 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0 0 0 0 0 -0.018 0 0 0 0 0.05 -0.0180135 -0.0010822 0.322849 -1.17224 1.97002 -1.39448 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0 0 0 0 0 -0.015 0 0 0 0 0.05 -0.0150113 -0.000901835 0.269041 -0.976864 1.64169 -1.16206 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0 0 0 0 0 -0.012 0 0 0 0 0.05 -0.012009 -0.000721468 0.215233 -0.781491 1.31335 -0.929652 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0 0 0 0 0 -0.009 0 0 0 0 0.05 -0.00900676 -0.000541101 0.161424 -0.586118 0.985012 -0.697239 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0 0 0 0 0 -0.006 0 0 0 0 0.05 -0.00600451 -0.000360734 0.107616 -0.390745 0.656675 -0.464826 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0 0 0 0 0 -0.003 0 0 0 0 0.05 -0.00300225 -0.000180367 0.0538081 -0.195373 0.328337 -0.232413 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0 0 0 0 0 0.000 0 0 0 0 0.05 1.02902e-316 3.39521e-314 3.79601e-312 -1.40742e-311 2.39045e-311 -1.70692e-311 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0 0 0 0 0 0.003 0 0 0 0 0.05 0.00300225 0.000180367 -0.0538081 0.195373 -0.328337 0.232413 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0 0 0 0 0 0.006 0 0 0 0 0.05 0.00600451 0.000360734 -0.107616 0.390745 -0.656675 0.464826 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0 0 0 0 0 0.009 0 0 0 0 0.05 0.00900676 0.000541101 -0.161424 0.586118 -0.985012 0.697239 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0 0 0 0 0 0.012 0 0 0 0 0.05 0.012009 0.000721468 -0.215233 0.781491 -1.31335 0.929652 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0 0 0 0 0 0.015 0 0 0 0 0.05 0.0150113 0.000901835 -0.269041 0.976864 -1.64169 1.16206 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0 0 0 0 0 0.018 0 0 0 0 0.05 0.0180135 0.0010822 -0.322849 1.17224 -1.97002 1.39448 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0 0 0 0 0 0.021 0 0 0 0 0.05 0.0210158 0.00126257 -0.376657 1.36761 -2.29836 1.62689 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0 0 0 0 0 0.024 0 0 0 0 0.05 0.024018 0.00144294 -0.430465 1.56298 -2.6267 1.8593 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0 0 0 0 0 0.027 0 0 0 0 0.05 0.0270203 0.0016233 -0.484273 1.75835 -2.95504 2.09172 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0 0 0 0 0 0.030 0 0 0 0 0.05 0.0300225 0.00180367 -0.538081 1.95373 -3.28337 2.32413 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
