tar_x(m) tar_y(m) tar_th(deg) vel_x(m/s) vel_y(m/s) cog_x(m) cog_y(m) L(0)R(1) STATE(0-2) ZMP_x(m) ZMP_y(m) ax0 ax1 ax2 ax3 ax4 ax5 ay0 ay1 ay2 ay3 ay4 ay5
0.06 0 0 -0.40 0 0.036 0 0 0 0 0.05 0.0320949 -0.377842 1.70456 -4.18823 6.09711 -3.9376 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.06 0 0 -0.40 0 0.042 0 0 0 0 0.05 0.0380994 -0.377481 1.59694 -3.79748 5.44043 -3.47277 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.06 0 0 -0.40 0 0.048 0 0 0 0 0.05 0.0441039 -0.37712 1.48932 -3.40674 4.78376 -3.00794 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.06 0 0 -0.40 0 0.054 0 0 0 0 0.05 0.0501084 -0.376759 1.38171 -3.01599 4.12708 -2.54312 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.06 0 0 -0.40 0 0.060 0 0 0 0 0.05 0.0561129 -0.376399 1.27409 -2.62525 3.47041 -2.07829 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.06 0 0 -0.36 0 0.030 0 0 0 0 0.05 0.0264837 -0.340171 1.58057 -3.93112 5.76257 -3.72876 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.06 0 0 -0.36 0 0.036 0 0 0 0 0.05 0.0324882 -0.33981 1.47296 -3.54038 5.10589 -3.26393 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.06 0 0 -0.36 0 0.042 0 0 0 0 0.05 0.0384927 -0.339449 1.36534 -3.14963 4.44922 -2.79911 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.06 0 0 -0.36 0 0.048 0 0 0 0 0.05 0.0444972 -0.339089 1.25772 -2.75889 3.79254 -2.33428 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.06 0 0 -0.36 0 0.054 0 0 0 0 0.05 0.0505017 -0.338728 1.15011 -2.36814 3.13587 -1.86945 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.06 0 0 -0.36 0 0.060 0 0 0 0 0.05 0.0565062 -0.338367 1.04249 -1.9774 2.4792 -1.40463 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.06 0 0 -0.32 0 0.024 0 0 0 0 0.05 0.0208725 -0.3025 1.45659 -3.67402 5.42803 -3.51992 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.06 0 0 -0.32 0 0.030 0 0 0 0 0.05 0.026877 -0.30214 1.34897 -3.28327 4.77136 -3.0551 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.06 0 0 -0.32 0 0.036 0 0 0 0 0.05 0.0328815 -0.301779 1.24136 -2.89253 4.11468 -2.59027 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.06 0 0 -0.32 0 0.042 0 0 0 0 0.05 0.038886 -0.301418 1.13374 -2.50178 3.45801 -2.12544 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.06 0 0 -0.32 0 0.048 0 0 0 0 0.05 0.0448905 -0.301057 1.02612 -2.11104 2.80133 -1.66062 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.06 0 0 -0.32 0 0.054 0 0 0 0 0.05 0.050895 -0.300697 0.918507 -1.72029 2.14466 -1.19579 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.06 0 0 -0.32 0 0.060 0 0 0 0 0.05 0.0568995 -0.300336 0.810891 -1.32954 1.48798 -0.730966 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.06 0 0 -0.28 0 0.018 0 0 0 0 0.05 0.0152613 -0.26483 1.3326 -3.41691 5.09349 -3.31108 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.06 0 0 -0.28 0 0.024 0 0 0 0 0.05 0.0212658 -0.264469 1.22499 -3.02617 4.43682 -2.84626 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.06 0 0 -0.28 0 0.030 0 0 0 0 0.05 0.0272703 -0.264108 1.11737 -2.63542 3.78014 -2.38143 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.06 0 0 -0.28 0 0.036 0 0 0 0 0.05 0.0332748 -0.263748 1.00976 -2.24468 3.12347 -1.91661 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.06 0 0 -0.28 0 0.042 0 0 0 0 0.05 0.0392793 -0.263387 0.90214 -1.85393 2.46679 -1.45178 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.06 0 0 -0.28 0 0.048 0 0 0 0 0.05 0.0452838 -0.263026 0.794523 -1.46318 1.81012 -0.986955 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.06 0 0 -0.28 0 0.054 0 0 0 0 0.05 0.0512883 -0.262665 0.686907 -1.07244 1.15345 -0.522129 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.06 0 0 -0.28 0 0.060 0 0 0 0 0.05 0.0572928 -0.262305 0.579291 -0.681694 0.496771 -0.0573028 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
0.06 0 0 -0.24 0 0.012 0 0 0 0 0.05 0.00965008 -0.227159 1.20862 -3.15981 4.75896 -3.10225 5.62315e-06 0.00169461 0.195168 -0.319911 0.755059 -0.00741478
