time(s) ref_x(m) zmp_x(m) cog_x(m) ref_y(m) zmp_y(m) cog_y(m) vel_x(m) vel_y(m) acc_x(m) acc_y(m)
0 0 0 1.21979e-06 0 0 -5.23994e-06 0.000365938 -0.00157198 0.0731877 -0.314397
0.01 0 -0.00201312 8.60132e-06 0 0.00864788 -3.6946e-05 0.00111664 -0.00479588 0.0769531 -0.330383
0.02 0 -0.00210937 2.35641e-05 0 0.00905617 -0.0001012 0.00187078 -0.0080326 0.0738746 -0.31696
0.03 0 -0.00200968 4.59101e-05 0 0.00862248 -0.000197133 0.00259288 -0.0111297 0.070545 -0.302467
0.04 0 -0.00189569 7.53177e-05 0 0.00812766 -0.000323342 0.00328379 -0.014091 0.067637 -0.289795
0.05 0 -0.00178625 0.000111497 0 0.00765267 -0.000478565 0.00394797 -0.0169358 0.0651998 -0.279153
0.06 0 -0.00168299 0.000154204 0 0.00720455 -0.000661736 0.00459006 -0.0196839 0.0632186 -0.270477
0.07 0 -0.00158576 0.000203239 0 0.00678258 -0.000871986 0.00521453 -0.0223547 0.0616741 -0.263683
0.08 0 -0.00149421 0.00025845 0 0.00638534 -0.00110863 0.00582564 -0.0249666 0.0605488 -0.258694
0.09 0 -0.00140803 0.000319721 0 0.00601137 -0.00137118 0.00642752 -0.0275373 0.0598272 -0.255442
0.1 0 -0.0013269 0.000386982 0 0.00565934 -0.0016593 0.00702414 -0.0300839 0.0594958 -0.25387
0.11 0 -0.00125052 0.0004602 0 0.00532794 -0.00197283 0.00761946 -0.0326229 0.0595687 -0.253943
0.12 0 -0.0011793 0.00053938 0 0.00501642 -0.00231179 0.00821737 -0.0351707 0.0600125 -0.255605
0.13 0 -0.00111234 0.000624568 0 0.00472322 -0.00267633 0.00882151 -0.0377428 0.0608174 -0.258823
0.14 0 -0.00104931 0.000715843 0 0.00444724 -0.00306678 0.00943549 -0.0403548 0.0619778 -0.26357
0.15 0 -0.000989967 0.000813322 0 0.00418745 -0.00348361 0.0100628 -0.0430218 0.0634899 -0.269831
0.16 0 -0.000934107 0.000917156 0 0.00394292 -0.00392745 0.010707 -0.0457589 0.065352 -0.277594
0.17 0 -0.000881522 0.00102753 0 0.00371276 -0.00439907 0.0113716 -0.0485812 0.0675637 -0.286859
0.18 0 -0.000832021 0.00114467 0 0.00349613 -0.0048994 0.0120601 -0.0515036 0.0701267 -0.29763
0.19 0 -0.000785424 0.00126882 0 0.00329225 -0.00542953 0.0127759 -0.0545414 0.073044 -0.309919
0.2 0 -0.00074156 0.00140029 0 0.00310036 -0.00599066 0.0135227 -0.0577097 0.0763204 -0.323746
0.21 0 -0.000700272 0.00153939 0 0.00291978 -0.00658421 0.0143042 -0.0610241 0.0799625 -0.339137
0.22 0 -0.000661409 0.0016865 0 0.00274984 -0.00721169 0.0151239 -0.0645004 0.0839783 -0.356125
0.23 0 -0.000624829 0.00184201 0 0.00258993 -0.00787481 0.0159856 -0.0681548 0.0883776 -0.374752
0.24 0 -0.0005904 0.00200637 0 0.00243947 -0.00857543 0.0168934 -0.0720039 0.0931719 -0.395065
0.25 0 -0.000557996 0.00218005 0 0.00229792 -0.00931559 0.0178511 -0.0760648 0.0983742 -0.417119
0.26 0 -0.0005275 0.00236357 0 0.00216474 -0.0100975 0.018863 -0.0803553 0.103999 -0.440977
0.27 0 -0.000498802 0.0025575 0 0.00203948 -0.0109235 0.0199333 -0.0848937 0.110064 -0.466708
0.28 0 -0.000471796 0.00276245 0 0.00192165 -0.0117963 0.0210666 -0.0896992 0.116588 -0.49439
0.29 0 -0.000446385 0.00297906 0 0.0018108 -0.0127185 0.0222675 -0.0947916 0.123589 -0.524092
0.3 0 -0.000422477 0.00320804 0 0.00170609 -0.0136931 0.0235409 -0.100191 0.131091 -0.555762
0.31 0 -0.000399985 0.00345013 0 0.00160308 -0.0147233 0.0248919 -0.10591 0.139119 -0.588108
0.32 0 -0.000378828 0.00370615 0 0.00146312 -0.0158122 0.026326 -0.111891 0.147698 -0.608071
