tar_x(m) tar_y(m) tar_th(deg) vel_x(m/s) vel_y(m/s) cog_x(m) cog_y(m) L(0)R(1) STATE(0-2) ZMP_x(m) ZMP_y(m) ZMP_th(deg) ax0 ax1 ax2 ax3 ax4 ax5 ay0 ay1 ay2 ay3 ay4 ay5
0.30 0 -90 0 0 0 0 0 0 0 -0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 -5.20858e-06 -0.00155966 -0.180143 0.29629 -0.702032 0.0135777
0.30 0 -89 0 0 0 0 0 0 0 -0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 -5.20858e-06 -0.00155966 -0.180143 0.29629 -0.702032 0.0135777
0.30 0 -88 0 0 0 0 0 0 0 -0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 -5.20858e-06 -0.00155966 -0.180143 0.29629 -0.702032 0.0135777
0.30 0 -87 0 0 0 0 0 0 0 -0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 -5.20858e-06 -0.00155966 -0.180143 0.29629 -0.702032 0.0135777
0.30 0 -86 0 0 0 0 0 0 0 -0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 -5.20858e-06 -0.00155966 -0.180143 0.29629 -0.702032 0.0135777
0.30 0 -85 0 0 0 0 0 0 0 -0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 -5.20858e-06 -0.00155966 -0.180143 0.29629 -0.702032 0.0135777
0.30 0 -84 0 0 0 0 0 0 0 -0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 -5.20858e-06 -0.00155966 -0.180143 0.29629 -0.702032 0.0135777
0.30 0 -83 0 0 0 0 0 0 0 -0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 -5.20858e-06 -0.00155966 -0.180143 0.29629 -0.702032 0.0135777
0.30 0 -82 0 0 0 0 0 0 0 -0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 -5.20858e-06 -0.00155966 -0.180143 0.29629 -0.702032 0.0135777
0.30 0 -81 0 0 0 0 0 0 0 -0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 -5.20858e-06 -0.00155966 -0.180143 0.29629 -0.702032 0.0135777
0.30 0 -80 0 0 0 0 0 0 0 -0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 -5.20858e-06 -0.00155966 -0.180143 0.29629 -0.702032 0.0135777
0.30 0 -79 0 0 0 0 0 0 0 -0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 -5.20858e-06 -0.00155966 -0.180143 0.29629 -0.702032 0.0135777
0.30 0 -78 0 0 0 0 0 0 0 -0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 -5.20858e-06 -0.00155966 -0.180143 0.29629 -0.702032 0.0135777
0.30 0 -77 0 0 0 0 0 0 0 -0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 -5.20858e-06 -0.00155966 -0.180143 0.29629 -0.702032 0.0135777
0.30 0 -76 0 0 0 0 0 0 0 -0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 -5.20858e-06 -0.00155966 -0.180143 0.29629 -0.702032 0.0135777
0.30 0 -75 0 0 0 0 0 0 0 -0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 -5.20858e-06 -0.00155966 -0.180143 0.29629 -0.702032 0.0135777
0.30 0 -74 0 0 0 0 0 0 0 -0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 -5.20858e-06 -0.00155966 -0.180143 0.29629 -0.702032 0.0135777
0.30 0 -73 0 0 0 0 0 0 0 -0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 -5.20858e-06 -0.00155966 -0.180143 0.29629 -0.702032 0.0135777
0.30 0 -72 0 0 0 0 0 0 0 -0.05 0 1.13266e-06 0.000371252 0.041378 -0.0648903 0.150281 0.0135095 -5.20858e-06 -0.00155966 -0.180143 0.29629 -0.702032 0.0135777
