time(s) ref_x(m) zmp_x(m) cog_x(m) ref_y(m) zmp_y(m) cog_y(m) vel_x(m) vel_y(m) acc_x(m) acc_y(m)
0 0 0 1.19464e-06 0 0 -5.26627e-06 0.000358393 -0.00157988 0.0716786 -0.315976
0.01 0 -0.00197161 8.42407e-06 0 0.00869133 -3.71318e-05 0.00109365 -0.00482001 0.0753722 -0.332049
0.02 0 -0.00206604 2.3079e-05 0 0.00910184 -0.00010171 0.00183232 -0.00807308 0.0723631 -0.318566
0.03 0 -0.00196857 4.49661e-05 0 0.00866615 -0.000198126 0.00253968 -0.0111859 0.0691079 -0.304006
0.04 0 -0.00185708 7.37709e-05 0 0.00816901 -0.000324974 0.00321654 -0.0141624 0.0662654 -0.291276
0.05 0 -0.00175005 0.00010921 0 0.0076918 -0.000480983 0.00386729 -0.0170217 0.0638837 -0.280586
0.06 0 -0.00164906 0.000151045 0 0.00724158 -0.000665084 0.00449645 -0.019784 0.0619484 -0.271872
0.07 0 -0.00155396 0.000199082 0 0.00681764 -0.000876403 0.00510839 -0.0224686 0.0604407 -0.265049
0.08 0 -0.00146442 0.000253169 0 0.00641853 -0.00111426 0.00570731 -0.025094 0.0593434 -0.26004
0.09 0 -0.00138013 0.000313198 0 0.00604282 -0.00137815 0.00629724 -0.0276781 0.0586413 -0.256778
0.1 0 -0.00130078 0.000379097 0 0.00568913 -0.00166774 0.00688205 -0.030238 0.0583214 -0.255202
0.11 0 -0.00122608 0.000450835 0 0.00535618 -0.00198288 0.0074656 -0.0327905 0.058388 -0.255291
0.12 0 -0.00115617 0.000528417 0 0.00504346 -0.00232358 0.00805162 -0.0353518 0.0588173 -0.256977
0.13 0 -0.00109041 0.000611887 0 0.00474917 -0.00269 0.00864372 -0.0379378 0.0596008 -0.260225
0.14 0 -0.0010285 0.000701323 0 0.00447215 -0.00308247 0.00924538 -0.040564 0.0607329 -0.265011
0.15 0 -0.000970225 0.000796839 0 0.0042114 -0.00350146 0.0098601 -0.0432456 0.06221 -0.271316
0.16 0 -0.000915364 0.00089858 0 0.00396596 -0.00394762 0.0104913 -0.0459979 0.0640302 -0.279133
0.17 0 -0.000863719 0.00100673 0 0.00373494 -0.00442171 0.0111424 -0.0488358 0.0661933 -0.288458
0.18 0 -0.000815103 0.00112151 0 0.0035175 -0.00492467 0.0118169 -0.0517746 0.0687007 -0.299297
0.19 0 -0.000769339 0.00124316 0 0.00331286 -0.00545759 0.0125182 -0.0548294 0.0715556 -0.311661
0.2 0 -0.000726261 0.00137197 0 0.00312025 -0.00602169 0.0132498 -0.0580156 0.0747625 -0.325572
0.21 0 -0.000685711 0.00150827 0 0.00293899 -0.00661839 0.0140152 -0.0613487 0.0783277 -0.341054
