time(s) ref_x(m) zmp_x(m) cog_x(m) ref_y(m) zmp_y(m) cog_y(m) vel_x(m) vel_y(m) acc_x(m) acc_y(m)
0 0 8.67362e-19 -0.00417591 0 0 -0.0203902 0.0291415 -0.0994525 -0.118948 1.99102
0.01 0 -0.000902109 -0.00389024 0 -0.0751889 -0.0212835 0.0280119 -0.0790592 -0.106972 2.08764
0.02 0 -0.000946057 -0.00361533 0 -0.0787414 -0.0219725 0.0269841 -0.0589925 -0.098576 1.9257
0.03 0 -0.000902234 -0.00335029 0 -0.0749733 -0.022469 0.0260374 -0.0406069 -0.0907726 1.75143
0.04 0 -0.000851962 -0.00309433 0 -0.0706734 -0.0227902 0.0251674 -0.0239008 -0.083227 1.58978
0.05 0 -0.000803678 -0.0028467 0 -0.0665457 -0.0229522 0.0243718 -0.00873992 -0.0758849 1.4424
0.06 0 -0.000758119 -0.00260665 0 -0.0626512 -0.0229697 0.0236488 0.00501466 -0.0687222 1.30852
0.07 0 -0.000715216 -0.00237348 0 -0.0589839 -0.0228561 0.0229966 0.0174932 -0.061718 1.18719
0.08 0 -0.000674822 -0.00214649 0 -0.0555312 -0.0226237 0.0224138 0.0288169 -0.0548522 1.07754
0.09 0 -0.000636793 -0.00192498 0 -0.0522806 -0.0222833 0.021899 0.0390981 -0.048105 0.978716
0.1 0 -0.000600991 -0.00170829 0 -0.0492204 -0.0218448 0.0214512 0.0484415 -0.0414563 0.889968
0.11 0 -0.000567285 -0.00149574 0 -0.0463394 -0.0213172 0.0210695 0.0569445 -0.0348713 0.810614
0.12 0 -0.000535976 -0.00128668 0 -0.0436277 -0.0207084 0.0207534 0.0646974 -0.0283448 0.739982
0.13 0 -0.000506546 -0.00108045 0 -0.0410749 -0.0200255 0.0205024 0.0717847 -0.0218584 0.677475
0.14 0 -0.000478845 -0.000876412 0 -0.0386716 -0.0192747 0.0203162 0.0782848 -0.0153924 0.622548
0.15 0 -0.000452769 -0.000673912 0 -0.0364091 -0.0184615 0.0201946 0.0842711 -0.00892674 0.574702
0.16 0 -0.000428222 -0.000472305 0 -0.034279 -0.0175908 0.0201377 0.089812 -0.00244119 0.533479
0.17 0 -0.000405116 -0.000270941 0 -0.0322737 -0.0166666 0.020146 0.0949717 0.0040848 0.498466
0.18 0 -0.000383367 -6.91673e-05 0 -0.0303858 -0.0156924 0.0202197 0.0998105 0.0106721 0.469286
0.19 0 -0.000362895 0.000133675 0 -0.0286085 -0.0146712 0.0203598 0.104385 0.017342 0.445596
0.2 0 -0.000343627 0.000338253 0 -0.0269353 -0.0136054 0.0205671 0.108748 0.0241161 0.427089
0.21 0 -0.000325493 0.000545245 0 -0.0253602 -0.0124968 0.0208428 0.112951 0.0310167 0.413491
0.22 0 -0.000308427 0.000755341 0 -0.0238773 -0.0113468 0.0211882 0.117041 0.0380667 0.404554
0.23 0 -0.000292367 0.000969246 0 -0.0224813 -0.0101562 0.021605 0.121065 0.0452896 0.400062
0.24 0 -0.000277256 0.00118768 0 -0.0211671 -0.00892554 0.022095 0.125064 0.0527096 0.399824
0.25 0 -0.000263038 0.0014114 0 -0.0199299 -0.00765485 0.0226603 0.129081 0.0603518 0.403677
