time(s) ref_x(m) zmp_x(m) cog_x(m) ref_y(m) zmp_y(m) cog_y(m) vel_x(m) vel_y(m) acc_x(m) acc_y(m)
0 0 0 -0.0329622 0.05 0.05 0.00140019 0.197707 0.229323 -1.18687 -2.2824
0.01 0 -0.000296149 -0.0310433 0.05 0.0642185 0.00358022 0.18619 0.206773 -1.11662 -2.22761
0.02 0 -0.00031054 -0.0292361 0.05 0.0648907 0.00553818 0.175349 0.184982 -1.05149 -2.1306
0.03 0 -0.000296092 -0.0275342 0.05 0.0641786 0.00728302 0.165141 0.16414 -0.990253 -2.03768
0.04 0 -0.000279507 -0.0259313 0.05 0.063366 0.00882394 0.155526 0.144185 -0.932595 -1.95336
0.05 0 -0.000263557 -0.0244218 0.05 0.0625861 0.0101694 0.146472 0.12503 -0.878296 -1.87774
0.06 0 -0.000248485 -0.0230001 0.05 0.0618503 0.0113269 0.137945 0.106588 -0.827159 -1.81052
0.07 0 -0.000234272 -0.0216612 0.05 0.0611576 0.0123033 0.129914 0.0887791 -0.779 -1.75135
0.08 0 -0.000220871 -0.0204003 0.05 0.0605056 0.0131043 0.122351 0.0715226 -0.733645 -1.69995
0.09 0 -0.000208236 -0.0192128 0.05 0.0598919 0.0137353 0.115228 0.0547427 -0.69093 -1.65603
0.1 0 -0.000196323 -0.0180944 0.05 0.0593142 0.0142005 0.10852 0.0383657 -0.650703 -1.61938
0.11 0 -0.000185092 -0.0170411 0.05 0.0587706 0.0145037 0.102202 0.0223199 -0.612818 -1.58977
0.12 0 -0.000174503 -0.0160491 0.05 0.0582588 0.0146478 0.0962522 0.006536 -0.577139 -1.56702
0.13 0 -0.00016452 -0.0151149 0.05 0.0577767 0.0146351 0.0906488 -0.00905324 -0.543538 -1.55083
0.14 0 -0.000155107 -0.014235 0.05 0.0573185 0.0144672 0.0853717 -0.0245059 -0.511893 -1.5397
0.15 0 -0.000146233 -0.0134064 0.05 0.0568442 0.0141455 0.0804018 -0.0398061 -0.48209 -1.52035
0.16 0 -0.000137867 -0.012626 0.05 0.05599 0.0136739 0.0757212 -0.0542489 -0.454023 -1.3682
0.17 0 -0.000129978 -0.0118911 0.05 0.0513309 0.0130874 0.0713131 -0.0606205 -0.42759 0.0938813
0.18 0 -0.000122541 -0.0111989 0 0.0105035 0.0124883 0.0671617 -0.058952 -0.402696 0.239825
0.19 0 -0.00011553 -0.010547 0 0.00588763 0.0119109 0.063252 -0.0565191 -0.379251 0.246742
0.2 0 -0.000108919 -0.00993311 0 0.00511985 0.0113579 0.0595699 -0.0540896 -0.357172 0.239162
0.21 0 -0.000102687 -0.00935492 0 0.00477551 0.0108289 0.0561021 -0.0517425 -0.336378 0.230262
0.22 0 -9.68105e-05 -0.00881039 0 0.00449136 0.0103228 0.0528362 -0.049484 -0.316795 0.221442
0.23 0 -9.12706e-05 -0.00829756 0 0.00422807 0.00983888 0.0497605 -0.0473125 -0.298352 0.21285
0.24 0 -8.60476e-05 -0.00781458 0 0.00398063 0.00937626 0.0468638 -0.0452257 -0.280982 0.204503
0.25 0 -8.11233e-05 -0.00735972 0 0.00374773 0.00893409 0.0441358 -0.0432212 -0.264624 0.196405
0.26 0 -7.64808e-05 -0.00693134 0 0.00352845 0.00851157 0.0415666 -0.0412964 -0.249219 0.188554
0.27 0 -7.21038e-05 -0.00652789 0 0.00332201 0.00810791 0.0391469 -0.0394489 -0.23471 0.180949
0.28 0 -6.79772e-05 -0.00614793 0 0.00312765 0.00772234 0.0368682 -0.0376762 -0.221046 0.173589
0.29 0 -6.40867e-05 -0.00579009 0 0.00294466 0.00735414 0.034722 -0.0359759 -0.208178 0.166471
0.3 0 -6.04188e-05 -0.00545307 0 0.00277238 0.00700259 0.0327009 -0.0343456 -0.196059 0.159591
0.31 0 -5.69607e-05 -0.00513568 0 0.00261018 0.00666701 0.0307973 -0.0327829 -0.184645 0.152947
