time(s) ref_x(m) zmp_x(m) cog_x(m) ref_y(m) zmp_y(m) cog_y(m) vel_x(m) vel_y(m) acc_x(m) acc_y(m)
0 0 0 -0.0186479 -0.05 -0.05 -0.010527 0.229447 -0.145558 -1.34757 1.3988
0.01 0 0.0184413 -0.01642 -0.05 -0.0490262 -0.0119135 0.216218 -0.13183 -1.29822 1.34678
0.02 0 0.0193107 -0.0143209 -0.05 -0.0489808 -0.0131652 0.203786 -0.11858 -1.1883 1.30309
0.03 0 0.0183846 -0.0123406 -0.05 -0.0490302 -0.0142865 0.192454 -0.105743 -1.07796 1.2644
0.04 0 0.0173281 -0.0104682 -0.05 -0.0490866 -0.0152813 0.182199 -0.0932698 -0.973086 1.23023
0.05 0 0.016314 -0.00869321 -0.05 -0.0491408 -0.016153 0.172964 -0.0811165 -0.873828 1.20042
0.06 0 0.0153571 -0.00700569 -0.05 -0.049192 -0.0169045 0.164696 -0.0692401 -0.779776 1.17486
0.07 0 0.014456 -0.00539623 -0.05 -0.0492403 -0.0175386 0.157345 -0.0575984 -0.690474 1.15348
0.08 0 0.0136076 -0.00385588 -0.05 -0.0492858 -0.0180572 0.150865 -0.0461499 -0.605487 1.1362
0.09 0 0.0128089 -0.00237615 -0.05 -0.0493288 -0.0184621 0.145216 -0.0348541 -0.524401 1.12297
0.1 0 0.0120569 -0.000948919 -0.05 -0.0493694 -0.0187546 0.14036 -0.0236706 -0.44682 1.11373
0.11 0 0.0113489 0.00043358 -0.05 -0.0494077 -0.0189357 0.136264 -0.0125596 -0.372368 1.10846
0.12 0 0.0106823 0.00177879 -0.05 -0.0494439 -0.0190059 0.132899 -0.00148155 -0.300688 1.10715
0.13 0 0.0100546 0.0030939 -0.05 -0.0494781 -0.0189653 0.130238 0.00960324 -0.231435 1.1098
0.14 0 0.00946367 0.00438583 -0.05 -0.0495104 -0.0188137 0.128259 0.0207344 -0.164279 1.11642
0.15 0 0.00890726 0.0056613 -0.05 -0.0495409 -0.0185504 0.126944 0.0319517 -0.0989017 1.12704
0.16 0 0.00838336 0.00692685 -0.05 -0.0495698 -0.0181742 0.126274 0.0432954 -0.0349968 1.1417
0.17 0 0.00789007 0.00818889 -0.05 -0.0495972 -0.0176839 0.126238 0.0548062 0.0277339 1.16046
0.18 0 0.00742557 0.00945369 -0.05 -0.0496231 -0.0170774 0.126824 0.0665254 0.0895798 1.18338
0.19 0 0.00698819 0.0107274 -0.05 -0.0496477 -0.0163526 0.128026 0.0784951 0.150824 1.21057
0.2 0 0.00657631 0.0120162 -0.05 -0.049671 -0.0155065 0.129839 0.0907585 0.211743 1.24211
0.21 0 0.00618845 0.0133262 -0.05 -0.0496931 -0.0145363 0.132261 0.10336 0.272611 1.27813
0.22 0 0.00582319 0.0146635 -0.05 -0.0497142 -0.0134381 0.135292 0.116344 0.333696 1.31876
0.23 0 0.00547919 0.0160341 -0.05 -0.0497342 -0.0122079 0.138937 0.129759 0.395268 1.36415
0.24 0 0.00515521 0.0174443 -0.05 -0.0497534 -0.0108413 0.143202 0.143652 0.457591 1.41447
0.25 0 0.00485005 0.0189003 -0.05 -0.0497716 -0.00933314 0.148094 0.158074 0.520935 1.4699
0.26 0 0.00456261 0.0204083 -0.05 -0.0497891 -0.00767789 0.153627 0.173076 0.585566 1.53065
0.27 0 0.00429184 0.021975 -0.05 -0.0498058 -0.00586949 0.159813 0.188714 0.651756 1.59694
0.28 0 0.00403675 0.0236068 -0.05 -0.0498219 -0.0039013 0.166671 0.205044 0.719777 1.66901
0.29 0 0.00379647 0.0253107 -0.05 -0.0498372 -0.00176611 0.174219 0.222124 0.789889 1.74708
0.3 0 0.00357063 0.0270936 -0.05 -0.0498509 0.000543893 0.18248 0.240015 0.862202 1.83109
0.31 0 0.00336327 0.0289627 -0.05 -0.0498532 0.00303705 0.191467 0.258761 0.935334 1.91801
0.32 0 0.00321959 0.0309251 -0.05 -0.0497522 0.00572153 0.201113 0.278234 0.993778 1.97655
0.33 0 0.00357345 0.0329842 -0.05 -0.0486788 0.00859823 0.210524 0.296657 0.888416 1.70821
0.34 0 0.00853238 0.0351058 -0.05 -0.0384166 0.0115932 0.211001 0.29664 -0.792959 -1.71168
0.35 0.06 0.0569304 0.0371744 0.07 0.0587036 0.0144696 0.202543 0.278181 -0.898703 -1.98007
0.36 0.06 0.0619094 0.0391559 0.07 0.0689669 0.0171533 0.193844 0.258673 -0.841027 -1.92164
0.37 0.06 0.0623034 0.0410535 0.07 0.0700424 0.0196454 0.185794 0.23989 -0.769057 -1.83488
0.38 0.06 0.0622202 0.0428741 0.07 0.0701467 0.021954 0.178457 0.22196 -0.698313 -1.75108
0.39 0.06 0.0620938 0.0446249 0.07 0.0701489 0.0240873 0.171815 0.204839 -0.630191 -1.67328
0.4 0.06 0.0619696 0.0463127 0.07 0.0701408 0.0260533 0.165841 0.188465 -0.564604 -1.60154
0.41 0.06 0.0618522 0.0479439 0.07 0.0701323 0.0278589 0.160511 0.172779 -0.501317 -1.53564
0.42 0.06 0.0617416 0.049525 0.07 0.0701242 0.0295109 0.155804 0.157724 -0.440087 -1.47534
0.43 0.06 0.0616374 0.051062 0.07 0.0701166 0.0310153 0.1517 0.143245 -0.380678 -1.42042
0.44 0.06 0.0615393 0.0525609 0.07 0.0701095 0.0323776 0.148182 0.129289 -0.322859 -1.37069
0.45 0.06 0.061447 0.0540275 0.07 0.070103 0.0336027 0.145236 0.115806 -0.26641 -1.32596
0.46 0.06 0.0613599 0.0554675 0.07 0.0700969 0.0346951 0.142848 0.102746 -0.211113 -1.28606
0.47 0.06 0.061278 0.0568863 0.07 0.0700913 0.0356588 0.141009 0.0900615 -0.156756 -1.25085
0.48 0.06 0.0612007 0.0582895 0.07 0.070086 0.0364974 0.13971 0.0777062 -0.103132 -1.22021
0.49 0.06 0.061128 0.0596823 0.07 0.0700812 0.0372139 0.138944 0.065635 -0.0500346 -1.19402
0.5 0.06 0.0610594 0.0610701 0.07 0.0700768 0.0378109 0.138707 0.053804 0.00273716 -1.17218
0.51 0.06 0.0609948 0.0624582 0.07 0.0700727 0.0382907 0.138998 0.0421701 0.0553841 -1.15461
0.52 0.06 0.0609339 0.0638518 0.07 0.070069 0.0386549 0.139815 0.0306907 0.108106 -1.14126
0.53 0.06 0.0608764 0.0652563 0.07 0.0700656 0.0389048 0.141161 0.0193241 0.161101 -1.13206
0.54 0.06 0.0608223 0.0666768 0.07 0.0700626 0.0390416 0.14304 0.00802879 0.214571 -1.127
0.55 0.06 0.0607712 0.0681189 0.07 0.0700599 0.0390655 0.145456 -0.0032364 0.268716 -1.12604
0.56 0.06 0.060723 0.0695878 0.07 0.0700574 0.0389768 0.148418 -0.0145125 0.323739 -1.12918
0.57 0.06 0.0606775 0.0710891 0.07 0.0700553 0.0387751 0.151936 -0.0258407 0.379847 -1.13645
0.58 0.06 0.0606346 0.0726284 0.07 0.0700534 0.0384597 0.156022 -0.0372621 0.43725 -1.14785
0.59 0.06 0.060594 0.0742115 0.07 0.0700518 0.0380294 0.160689 -0.0488185 0.496161 -1.16343
0.6 0.06 0.0605557 0.0758442 0.07 0.0700505 0.0374827 0.165954 -0.060552 0.5568 -1.18326
0.61 0.06 0.0605194 0.0775326 0.07 0.0700495 0.0368176 0.171835 -0.0725053 0.619392 -1.20739
0.62 0.06 0.0604851 0.079283 0.07 0.0700487 0.0360317 0.178353 -0.0847219 0.684168 -1.23593
0.63 0.06 0.0604527 0.0811018 0.07 0.0700481 0.0351222 0.18553 -0.0972462 0.751348 -1.26893
0.64 0.06 0.0604225 0.0829959 0.07 0.070047 0.0340856 0.193392 -0.110122 0.821004 -1.3063
0.65 0.06 0.0603994 0.084972 0.07 0.0700389 0.0329184 0.201955 -0.123384 0.891722 -1.34593
0.66 0.06 0.0604292 0.0870371 0.07 0.0699625 0.031617 0.211154 -0.136948 0.947963 -1.36691
0.67 0.06 0.0609464 0.0891942 0.07 0.0692384 0.0301824 0.220097 -0.149633 0.840578 -1.17017
0.68 0.06 0.0660591 0.0914092 0.07 0.0623889 0.0286659 0.220086 -0.149847 -0.842666 1.12748
0.69 0.12 0.114602 0.0935661 -0.01 -0.00236556 0.0272271 0.211122 -0.137589 -0.950152 1.32406
0.7 0.12 0.119717 0.0956308 -0.01 -0.00921494 0.025917 0.201901 -0.124455 -0.894115 1.30276
0.71 0.12 0.120239 0.0976062 -0.01 -0.00993877 0.0247369 0.193312 -0.111628 -0.823704 1.26264
0.72 0.12 0.120277 0.0994993 -0.01 -0.0100147 0.0236832 0.185421 -0.0991915 -0.754461 1.22463
0.73 0.12 0.120264 0.101317 -0.01 -0.0100222 0.0227519 0.178209 -0.0871143 -0.687803 1.19081
0.74 0.12 0.120247 0.103066 -0.01 -0.0100226 0.0219398 0.171652 -0.0753538 -0.623661 1.16129
0.75 0.12 0.120231 0.104752 -0.01 -0.0100223 0.0212439 0.165725 -0.0638674 -0.561819 1.136
0.76 0.12 0.120215 0.106382 -0.01 -0.010022 0.0206617 0.160405 -0.0526132 -0.502052 1.11484
0.77 0.12 0.1202 0.107962 -0.01 -0.0100219 0.020191 0.155674 -0.0415504 -0.444141 1.09773
0.78 0.12 0.120186 0.109498 -0.01 -0.0100218 0.0198302 0.151514 -0.0306386 -0.387873 1.08462
0.79 0.12 0.120173 0.110994 -0.01 -0.0100218 0.0195779 0.14791 -0.0198382 -0.333042 1.07546
0.8 0.12 0.120161 0.112458 -0.01 -0.010022 0.0194332 0.144847 -0.00910986 -0.279447 1.07021
0.81 0.12 0.120149 0.113893 -0.01 -0.0100222 0.0193956 0.142316 0.0015855 -0.226891 1.06886
0.82 0.12 0.120138 0.115306 -0.01 -0.0100226 0.0194649 0.140305 0.0122868 -0.175182 1.07139
0.83 0.12 0.120127 0.116701 -0.01 -0.010023 0.0196414 0.138809 0.0230329 -0.12413 1.07783
0.84 0.12 0.120117 0.118084 -0.01 -0.0100236 0.0199258 0.13782 0.0338629 -0.0735482 1.08819
0.85 0.12 0.120108 0.119459 -0.01 -0.0100242 0.0203191 0.137336 0.0448164 -0.0232515 1.1025
0.86 0.12 0.120099 0.120832 -0.01 -0.010025 0.0208227 0.137355 0.0559331 0.0269444 1.12083
0.87 0.12 0.12009 0.122208 -0.01 -0.0100259 0.0214385 0.137876 0.0672534 0.0772232 1.14324
0.88 0.12 0.120082 0.123591 -0.01 -0.0100269 0.0221686 0.138901 0.0788187 0.127769 1.16981
0.89 0.12 0.120075 0.124987 -0.01 -0.010028 0.0230158 0.140433 0.0906709 0.178766 1.20064
0.9 0.12 0.120067 0.126402 -0.01 -0.0100293 0.0239831 0.142479 0.102853 0.230401 1.23583
0.91 0.12 0.12006 0.127839 -0.01 -0.0100307 0.0250741 0.145045 0.11541 0.282864 1.27553
0.92 0.12 0.120053 0.129304 -0.01 -0.0100322 0.0262927 0.148141 0.128387 0.336344 1.31987
0.93 0.12 0.120047 0.130803 -0.01 -0.0100339 0.0276434 0.151778 0.141831 0.391039 1.36901
0.94 0.12 0.120041 0.132342 -0.01 -0.0100358 0.0291311 0.155969 0.155792 0.447148 1.42313
0.95 0.12 0.120035 0.133925 -0.01 -0.0100378 0.0307611 0.160729 0.17032 0.504874 1.48244
