time(s) ref_x(m) zmp_x(m) cog_x(m) ref_y(m) zmp_y(m) cog_y(m) vel_x(m) vel_y(m) acc_x(m) acc_y(m)
0 0 0 -0.0974715 0.05 0.05 -0.00529141 0.230333 -0.164353 0.890448 2.6071
0.01 0 -0.121979 -0.0951187 0.05 -0.0770464 -0.00680186 0.240712 -0.137465 1.18543 2.77034
0.02 0 -0.127745 -0.0926546 0.05 -0.0830497 -0.0080426 0.251904 -0.111144 1.05295 2.49395
0.03 0 -0.121635 -0.0900855 0.05 -0.0766834 -0.00903434 0.261634 -0.0877045 0.892937 2.19395
0.04 0 -0.114662 -0.087427 0.05 -0.0694183 -0.00980638 0.26983 -0.0671723 0.746313 1.9125
0.05 0 -0.107968 -0.0846936 0.05 -0.0624441 -0.0103868 0.276642 -0.0493481 0.616154 1.65233
0.06 0 -0.101652 -0.0818982 0.05 -0.0558639 -0.0108017 0.282231 -0.0340258 0.501624 1.41212
0.07 0 -0.0957044 -0.0790525 0.05 -0.0496673 -0.011075 0.286747 -0.0210141 0.401571 1.19022
0.08 0 -0.0901049 -0.0761664 0.05 -0.0438333 -0.0112291 0.290329 -0.0101378 0.314895 0.985057
0.09 0 -0.0848332 -0.0732486 0.05 -0.0383408 -0.0112844 0.293107 -0.00123665 0.240584 0.795166
0.1 0 -0.0798702 -0.0703066 0.05 -0.0331697 -0.0112599 0.295198 0.00583502 0.177711 0.619168
0.11 0 -0.0751977 -0.0673466 0.05 -0.0283012 -0.0111733 0.296714 0.0112097 0.125459 0.455772
0.12 0 -0.0707996 -0.0643739 0.05 -0.0237175 -0.011041 0.297757 0.0150075 0.083027 0.303785
0.13 0 -0.066659 -0.0613927 0.05 -0.019402 -0.0108781 0.29842 0.0173368 0.0497108 0.162083
0.14 0 -0.0627609 -0.0584064 0.05 -0.0153391 -0.0106988 0.298793 0.0182953 0.0248732 0.0296132
0.15 0 -0.059091 -0.0554175 0.05 -0.0115139 -0.0105164 0.298957 0.0179703 0.00793806 -0.0946116
0.16 0 -0.055636 -0.0524277 0.05 -0.00791246 -0.0103434 0.298989 0.0164397 -0.0016132 -0.21152
0.17 0 -0.0523833 -0.049438 0.05 -0.00452177 -0.0101914 0.29896 0.0137721 -0.00424566 -0.321986
0.18 0 -0.0493211 -0.0464485 0.05 -0.00132945 -0.0100716 0.298936 0.010028 -0.000374023 -0.426833
0.19 0 -0.0464382 -0.043459 0.05 0.00167614 -0.0099943 0.298983 0.00525967 0.00963438 -0.526841
0.2 0 -0.0437242 -0.0404684 0.05 0.00450592 -0.00996964 0.299158 -0.000488278 0.0254569 -0.622748
0.21 0 -0.0411691 -0.0374752 0.05 0.00717021 -0.0100072 0.29952 -0.00717829 0.0468131 -0.715255
0.22 0 -0.0387636 -0.0344772 0.05 0.00967871 -0.0101162 0.300121 -0.0147797 0.0734623 -0.80503
0.23 0 -0.0364991 -0.0314718 0.05 0.0120405 -0.0103058 0.301014 -0.0232684 0.105202 -0.892712
0.24 0 -0.0343673 -0.0284558 0.05 0.0142643 -0.0105845 0.30225 -0.0326266 0.141865 -0.978916
0.25 0 -0.0323604 -0.0254255 0.05 0.0163581 -0.0109611 0.303875 -0.0428423 0.18332 -1.06423
0.26 0 -0.030471 -0.0223768 0.05 0.0183296 -0.0114442 0.305939 -0.0539096 0.229468 -1.14923
0.27 0 -0.0286925 -0.0193051 0.05 0.0201859 -0.0120422 0.308488 -0.065828 0.28024 -1.23446
0.28 0 -0.0270182 -0.0162053 0.05 0.0219338 -0.0127636 0.311567 -0.0786026 0.335599 -1.32047
0.29 0 -0.025442 -0.0130719 0.05 0.0235795 -0.0136171 0.315223 -0.0922437 0.395517 -1.40775
0.3 0 -0.0239577 -0.00989878 0.05 0.0251282 -0.0146114 0.3195 -0.106765 0.459841 -1.49653
0.31 0 -0.0225549 -0.00667967 0.05 0.0265775 -0.0157554 0.324433 -0.12217 0.526947 -1.58455
0.32 0 -0.0211828 -0.00340809 0.05 0.027856 -0.0170573 0.329974 -0.138323 0.581106 -1.64596
0.33 0 -0.0194018 -8.1097e-05 0.05 0.0282444 -0.0185193 0.335244 -0.153714 0.472995 -1.43224
0.34 0 -0.0130993 0.00326695 0.05 0.0209003 -0.0200807 0.33156 -0.153824 -1.20978 1.4103
0.35 0.06 0.0365637 0.0065203 -0.05 -0.0588962 -0.0215447 0.318933 -0.138627 -1.31575 1.62896
0.36 0.06 0.0427336 0.00964481 -0.05 -0.0663785 -0.0228504 0.306068 -0.122595 -1.25728 1.57747
0.37 0.06 0.0442488 0.0126438 -0.05 -0.066267 -0.0239987 0.293863 -0.107186 -1.18364 1.50443
0.38 0.06 0.0452212 0.0155245 -0.05 -0.0654051 -0.0249965 0.282392 -0.0924847 -1.1105 1.43579
0.39 0.06 0.0460886 0.0182941 -0.05 -0.0645137 -0.0258506 0.271643 -0.0784359 -1.03935 1.37396
0.4 0.06 0.0469002 0.0209597 -0.05 -0.0636661 -0.0265672 0.261595 -0.0649716 -0.970245 1.3189
0.41 0.06 0.0476637 0.0235283 -0.05 -0.0628672 -0.0271517 0.252229 -0.0520254 -0.903036 1.27034
0.42 0.06 0.0483825 0.0260065 -0.05 -0.0621152 -0.0276092 0.243525 -0.0395337 -0.83758 1.22799
0.43 0.06 0.0490592 0.0284009 -0.05 -0.0614072 -0.0279437 0.235469 -0.0274356 -0.773729 1.19162
0.44 0.06 0.0496962 0.030718 -0.05 -0.0607407 -0.028159 0.228044 -0.0156725 -0.711334 1.16101
0.45 0.06 0.050296 0.0329639 -0.05 -0.0601134 -0.0282581 0.221236 -0.00418759 -0.650257 1.13596
0.46 0.06 0.0508608 0.0351447 -0.05 -0.0595232 -0.0282435 0.215033 0.00707377 -0.590342 1.11631
0.47 0.06 0.0513927 0.0372665 -0.05 -0.0589676 -0.0281172 0.209424 0.0181648 -0.531441 1.1019
0.48 0.06 0.0518933 0.0393351 -0.05 -0.0584447 -0.0278806 0.2044 0.0291373 -0.473405 1.09261
0.49 0.06 0.0523646 0.0413564 -0.05 -0.0579525 -0.0275347 0.199952 0.0400421 -0.416086 1.08835
0.5 0.06 0.0528083 0.0433361 -0.05 -0.0574892 -0.0270798 0.196075 0.050929 -0.359334 1.08903
0.51 0.06 0.053226 0.0452798 -0.05 -0.0570532 -0.026516 0.192763 0.0618472 -0.302998 1.09461
0.52 0.06 0.0536192 0.0471932 -0.05 -0.0566429 -0.0258426 0.190014 0.0728455 -0.246924 1.10505
0.53 0.06 0.0539893 0.0490819 -0.05 -0.0562567 -0.0250587 0.187824 0.0839724 -0.190958 1.12033
0.54 0.06 0.0543377 0.0509516 -0.05 -0.0558933 -0.0241626 0.186195 0.0952763 -0.134943 1.14046
0.55 0.06 0.0546656 0.0528077 -0.05 -0.0555514 -0.0231524 0.185126 0.106806 -0.0787179 1.16547
0.56 0.06 0.0549743 0.054656 -0.05 -0.0552296 -0.0220255 0.184622 0.11861 -0.022119 1.19542
0.57 0.06 0.0552648 0.056502 -0.05 -0.0549269 -0.0207791 0.184687 0.130739 0.035021 1.23036
0.58 0.06 0.0555382 0.0583516 -0.05 -0.0546422 -0.0194095 0.185326 0.143243 0.0928737 1.27039
0.59 0.06 0.0557955 0.0602105 -0.05 -0.0543743 -0.0179128 0.186549 0.156173 0.151616 1.31561
0.6 0.06 0.0560376 0.0620846 -0.05 -0.0541224 -0.0162845 0.188364 0.169582 0.211428 1.36617
0.61 0.06 0.0562655 0.0639798 -0.05 -0.0538854 -0.0145194 0.190784 0.183524 0.272499 1.42221
0.62 0.06 0.0564798 0.0659023 -0.05 -0.0536627 -0.012612 0.193821 0.198054 0.33502 1.48389
0.63 0.06 0.0566816 0.0678583 -0.05 -0.0534531 -0.0105562 0.197492 0.213231 0.399178 1.5514
0.64 0.06 0.0568718 0.0698543 -0.05 -0.0532551 -0.00834506 0.201813 0.229111 0.465053 1.62461
0.65 0.06 0.0570547 0.0718968 -0.05 -0.0530592 -0.00597145 0.206797 0.245738 0.531647 1.70078
0.66 0.06 0.0572643 0.0739923 -0.05 -0.0527818 -0.00342818 0.212394 0.263 0.587693 1.75166
0.67 0.06 0.0578173 0.0761446 -0.05 -0.0516389 -0.000714659 0.217956 0.279299 0.524796 1.50819
0.68 0.06 0.0617006 0.0783302 -0.05 -0.0422244 0.00210235 0.217162 0.278963 -0.683652 -1.5755
0.69 0.103618 0.0971463 0.0804666 0.0581549 0.0454647 0.00480915 0.210011 0.261992 -0.746504 -1.81856
0.7 0.103618 0.101013 0.0825303 0.0581549 0.0548613 0.007339 0.202827 0.244065 -0.690369 -1.76688
0.71 0.103618 0.101531 0.0845252 0.0581549 0.0559686 0.0096926 0.196256 0.226783 -0.623635 -1.68949
0.72 0.103618 0.101689 0.0864577 0.0581549 0.0561924 0.0118772 0.190351 0.210263 -0.557562 -1.61463
0.73 0.103618 0.101803 0.0883344 0.0581549 0.0563166 0.0139003 0.185097 0.194464 -0.493137 -1.54504
0.74 0.103618 0.101907 0.0901617 0.0581549 0.0564244 0.0157687 0.18048 0.179335 -0.43027 -1.48081
0.75 0.103618 0.102004 0.0919461 0.0581549 0.056525 0.017489 0.176485 0.164822 -0.368757 -1.42175
0.76 0.103618 0.102095 0.0936935 0.0581549 0.0566197 0.019067 0.173099 0.150875 -0.308389 -1.36765
0.77 0.103618 0.102181 0.09541 0.0581549 0.0567089 0.0205082 0.170312 0.137445 -0.248957 -1.31834
0.78 0.103618 0.102262 0.0971017 0.0581549 0.0567929 0.0218175 0.168116 0.124485 -0.190257 -1.27365
0.79 0.103618 0.102338 0.0987743 0.0581549 0.0568722 0.0229994 0.166505 0.11195 -0.132084 -1.23342
0.8 0.103618 0.10241 0.100434 0.0581549 0.0569468 0.0240578 0.165473 0.099795 -0.0742367 -1.19753
0.81 0.103618 0.102477 0.102086 0.0581549 0.0570172 0.0249964 0.165019 0.0879782 -0.0165135 -1.16583
0.82 0.103618 0.10254 0.103736 0.0581549 0.0570835 0.0258183 0.165143 0.0764579 0.0412873 -1.13824
0.83 0.103618 0.1026 0.10539 0.0581549 0.0571461 0.0265264 0.165846 0.0651934 0.0993681 -1.11466
0.84 0.103618 0.102656 0.107055 0.0581549 0.0572051 0.0271229 0.167133 0.054145 0.157933 -1.09501
