time(s) ref_x(m) zmp_x(m) cog_x(m) ref_y(m) zmp_y(m) cog_y(m) vel_x(m) vel_y(m) acc_x(m) acc_y(m)
0 0 0 9.57226e-06 -0.05 -0.05 4.86147e-05 0.00287168 0.00550108 0.574336 -0.716451
0.01 0 -0.0157978 6.74942e-05 -0.05 0.0197674 6.58173e-05 0.00876154 -0.00225912 0.603637 -0.835588
0.02 0 -0.0165464 0.000184884 -0.05 0.0230637 3.5264e-06 0.0146758 -0.00999111 0.579218 -0.71081
0.03 0 -0.0157569 0.000360164 -0.05 0.0195671 -0.00012959 0.0203361 -0.0163985 0.55284 -0.570674
0.04 0 -0.0148556 0.000590783 -0.05 0.015577 -0.000319904 0.0257492 -0.021444 0.529784 -0.438417
0.05 0 -0.0139904 0.000874442 -0.05 0.0117466 -0.000554218 0.0309503 -0.0252142 0.510432 -0.31562
0.06 0 -0.0131741 0.0012092 -0.05 0.00813257 -0.000820241 0.0359758 -0.0278004 0.494667 -0.20163
0.07 0 -0.0124055 0.00159349 -0.05 0.00472921 -0.00110656 0.0408608 -0.0292866 0.482338 -0.0956112
0.08 0 -0.0116819 0.00202606 -0.05 0.00152494 -0.00140256 0.045639 -0.0297485 0.473303 0.00324358
0.09 0 -0.0110006 0.00250602 -0.05 -0.00149183 -0.00169834 0.0503427 -0.0292538 0.467441 0.0956924
0.1 0 -0.0103593 0.00303277 -0.05 -0.00433208 -0.00198465 0.0550032 -0.0278631 0.464646 0.182447
0.11 0 -0.00975563 0.00360604 -0.05 -0.00700613 -0.00225279 0.0596505 -0.0256298 0.464819 0.264206
0.12 0 -0.00918713 0.00422584 -0.05 -0.00952453 -0.00249459 0.0643141 -0.0226009 0.467893 0.341573
0.13 0 -0.00865194 0.00489247 -0.05 -0.0118957 -0.0027023 0.0690226 -0.0188174 0.473809 0.415138
0.14 0 -0.00814815 0.00560653 -0.05 -0.0141281 -0.00286854 0.0738042 -0.0143143 0.482523 0.485466
0.15 0 -0.00767391 0.00636889 -0.05 -0.01623 -0.00298628 0.0786869 -0.00912156 0.494003 0.55309
0.16 0 -0.00722751 0.0071807 -0.05 -0.0182089 -0.00304875 0.083698 -0.00326353 0.508231 0.618517
0.17 0 -0.00680732 0.00804337 -0.05 -0.0200722 -0.0030494 0.0888652 0.00324022 0.525205 0.682232
0.18 0 -0.00641182 0.00895861 -0.05 -0.0218264 -0.00298185 0.0942159 0.0103749 0.544934 0.744699
0.19 0 -0.00603956 0.0099284 -0.05 -0.0234782 -0.00283984 0.0997778 0.0181302 0.567439 0.806364
0.2 0 -0.00568919 0.010955 -0.05 -0.0250333 -0.00261719 0.105579 0.0265003 0.592757 0.867657
0.21 0 -0.00535944 0.0120409 -0.05 -0.0264976 -0.00230779 0.111647 0.0354835 0.620935 0.928993
0.22 0 -0.0050491 0.0131889 -0.05 -0.0278764 -0.00190547 0.118012 0.0450824 0.652037 0.99078
0.23 0 -0.00475706 0.0144022 -0.05 -0.0291746 -0.00140406 0.124703 0.0553034 0.686135 1.05341
0.24 0 -0.00448225 0.0156841 -0.05 -0.0303971 -0.000797295 0.13175 0.0661569 0.723317 1.11728
0.25 0 -0.00422366 0.0170385 -0.05 -0.0315482 -7.87708e-05 0.139185 0.0776571 0.763685 1.18277
0.26 0 -0.00398037 0.0184693 -0.05 -0.0326321 0.000758064 0.14704 0.0898223 0.807353 1.25026
0.27 0 -0.00375149 0.0199808 -0.05 -0.0336528 0.00171996 0.155349 0.102674 0.85445 1.32014
0.28 0 -0.00353617 0.0215779 -0.05 -0.0346141 0.00281392 0.164147 0.116239 0.905116 1.39277
0.29 0 -0.00333359 0.0232655 -0.05 -0.0355192 0.00404721 0.17347 0.130545 0.959491 1.46852
0.3 0 -0.0031425 0.0250491 -0.05 -0.0363707 0.00542741 0.183356 0.145625 1.01757 1.54747
0.31 0 -0.00295734 0.0269346 -0.05 -0.0371636 0.00696236 0.193833 0.161499 1.07787 1.62724
0.32 0 -0.00273149 0.0289276 -0.05 -0.037824 0.00865962 0.204846 0.178044 1.12478 1.68188
0.33 0 -0.00202973 0.0310304 -0.05 -0.0376306 0.0105205 0.215515 0.193768 1.00911 1.46275
0.34 0 0.00325673 0.0332078 -0.05 -0.0297388 0.0124839 0.217154 0.194162 -0.681442 -1.38392
0.35 0.06 0.0519631 0.0353434 0.05 0.0505734 0.0143526 0.20977 0.179215 -0.7953 -1.60552
0.36 0.06 0.0572324 0.0374021 0.05 0.0585411 0.0160653 0.20207 0.163408 -0.744744 -1.55584
0.37 0.06 0.0578997 0.0393867 0.05 0.0588867 0.0176228 0.194951 0.148211 -0.678962 -1.48358
0.38 0.06 0.0580737 0.0413034 0.05 0.0584551 0.0190319 0.188489 0.133719 -0.613531 -1.41471
0.39 0.06 0.0581895 0.0431586 0.05 0.0579688 0.0202994 0.182672 0.119887 -0.549899 -1.35172
0.4 0.06 0.0582934 0.0449589 0.05 0.0575026 0.0214316 0.177482 0.106656 -0.488023 -1.2946
0.41 0.06 0.0583907 0.0467103 0.05 0.0570628 0.0224343 0.172903 0.0939669 -0.427712 -1.24312
0.42 0.06 0.0584822 0.0484189 0.05 0.0566487 0.0233126 0.168921 0.0817661 -0.36876 -1.19705
0.43 0.06 0.0585683 0.0500907 0.05 0.0562589 0.0240711 0.165522 0.07 -0.310964 -1.15616
0.44 0.06 0.0586493 0.0517313 0.05 0.0558921 0.0247139 0.162697 0.0586179 -0.254124 -1.12026
0.45 0.06 0.0587255 0.0533465 0.05 0.0555468 0.0252445 0.160436 0.0475706 -0.198035 -1.08918
0.46 0.06 0.058797 0.0549419 0.05 0.055222 0.0256662 0.158733 0.036811 -0.142511 -1.06276
0.47 0.06 0.0588642 0.056523 0.05 0.0549164 0.0259816 0.157584 0.0262929 -0.0873596 -1.04085
0.48 0.06 0.0589274 0.0580954 0.05 0.0546287 0.0261927 0.156985 0.015972 -0.0323888 -1.02334
0.49 0.06 0.0589868 0.0596645 0.05 0.054358 0.0263015 0.156936 0.00580465 0.0225935 -1.01013
0.5 0.06 0.0590427 0.061236 0.05 0.0541033 0.0263092 0.157438 -0.00425172 0.0777799 -1.00114
0.51 0.06 0.0590952 0.0628152 0.05 0.0538636 0.0262167 0.158494 -0.014239 0.133364 -0.996307
0.52 0.06 0.0591446 0.0644077 0.05 0.053638 0.0260245 0.160109 -0.0241984 0.189542 -0.995578
0.53 0.06 0.059191 0.0660192 0.05 0.0534258 0.0257327 0.162289 -0.0341709 0.246511 -0.998926
0.54 0.06 0.0592345 0.0676554 0.05 0.0532261 0.0253409 0.165044 -0.0441972 0.304474 -1.00634
0.55 0.06 0.0592754 0.069322 0.05 0.0530382 0.0248484 0.168384 -0.0543179 0.363635 -1.01781
0.56 0.06 0.0593137 0.0710251 0.05 0.0528615 0.0242541 0.172323 -0.0645738 0.424205 -1.03336
0.57 0.06 0.0593497 0.0727706 0.05 0.0526953 0.0235564 0.176876 -0.0750058 0.486399 -1.05304
0.58 0.06 0.0593834 0.0745647 0.05 0.052539 0.0227533 0.182061 -0.0856554 0.550439 -1.07688
0.59 0.06 0.059415 0.0764139 0.05 0.0523921 0.0218424 0.187896 -0.0965645 0.616554 -1.10495
0.6 0.06 0.0594446 0.0783249 0.05 0.0522539 0.020821 0.194403 -0.107776 0.68498 -1.13735
