time(s) ref_x(m) zmp_x(m) cog_x(m) ref_y(m) zmp_y(m) cog_y(m) vel_x(m) vel_y(m) acc_x(m) acc_y(m)
0 0 0 1.19019e-06 0 0 -5.26627e-06 0.000357056 -0.00157988 0.0714113 -0.315976
0.01 0 -0.00196426 8.39256e-06 0 0.00869133 -3.71318e-05 0.00108954 -0.00482001 0.075086 -0.332049
0.02 0 -0.0020582 2.29922e-05 0 0.00910184 -0.00010171 0.00182539 -0.00807308 0.072083 -0.318566
0.03 0 -0.00196094 4.47961e-05 0 0.00866615 -0.000198126 0.00252998 -0.0111859 0.068835 -0.304006
0.04 0 -0.00184974 7.34904e-05 0 0.00816901 -0.000324974 0.00320414 -0.0141624 0.0659983 -0.291276
0.05 0 -0.00174298 0.000108792 0 0.0076918 -0.000480983 0.00385224 -0.0170217 0.063621 -0.280586
0.06 0 -0.00164224 0.000150463 0 0.00724158 -0.000665084 0.00447879 -0.019784 0.0616885 -0.271872
0.07 0 -0.00154739 0.000198311 0 0.00681764 -0.000876403 0.00508814 -0.0224686 0.0601822 -0.265049
0.08 0 -0.00145808 0.000252183 0 0.00641853 -0.00111426 0.00568448 -0.025094 0.0590848 -0.26004
0.09 0 -0.00137401 0.00031197 0 0.00604282 -0.00137815 0.00627181 -0.0276781 0.0583813 -0.256778
0.1 0 -0.00129486 0.000377602 0 0.00568913 -0.00166774 0.00685401 -0.030238 0.0580586 -0.255202
0.11 0 -0.00122034 0.000449046 0 0.00535618 -0.00198288 0.00743483 -0.0327904 0.0581057 -0.255278
0.12 0 -0.00115019 0.000526306 0 0.00504311 -0.00232358 0.00801792 -0.0353515 0.0585134 -0.25695
0.13 0 -0.00108415 0.000609424 0 0.00474845 -0.00268999 0.00860686 -0.0379372 0.0592746 -0.260186
0.14 0 -0.00102199 0.000698474 0 0.00447108 -0.00308245 0.00920516 -0.040563 0.0603837 -0.264959
0.15 0 -0.000963462 0.000793569 0 0.00421 -0.00350144 0.00981626 -0.043244 0.061837 -0.271253
0.16 0 -0.000908367 0.000894854 0 0.00396425 -0.00394757 0.0104436 -0.0459956 0.0636327 -0.279058
0.17 0 -0.000856504 0.00100251 0 0.00373294 -0.00442163 0.0110906 -0.0488327 0.0657702 -0.288372
0.18 0 -0.000807681 0.00111674 0 0.00351522 -0.00492456 0.0117607 -0.0517706 0.0682509 -0.2992
0.19 0 -0.000761723 0.00123781 0 0.00331031 -0.00545743 0.0124574 -0.0548244 0.0710779 -0.311555
0.2 0 -0.000718462 0.00136599 0 0.00311747 -0.00602148 0.013184 -0.0580094 0.0742555 -0.325455
0.21 0 -0.00067774 0.0015016 0 0.00293598 -0.00661811 0.0139443 -0.0613413 0.0777901 -0.340927
0.22 0 -0.00063941 0.001645 0 0.00276519 -0.00724885 0.0147417 -0.064836 0.0816894 -0.358005
0.23 0 -0.000603332 0.00179657 0 0.00260448 -0.00791543 0.0155799 -0.0685096 0.0859628 -0.376729
0.24 0 -0.000569375 0.00195675 0 0.00245327 -0.0086197 0.0164628 -0.072379 0.0906213 -0.397149
0.25 0 -0.000537416 0.00212599 0 0.002311 -0.00936372 0.0173943 -0.0764614 0.0956777 -0.419319
0.26 0 -0.000507339 0.00230481 0 0.00217716 -0.0101497 0.0183785 -0.0807745 0.101146 -0.443302
0.27 0 -0.000479035 0.00249375 0 0.00205126 -0.01098 0.0194194 -0.0853368 0.107043 -0.469168
0.28 0 -0.0004524 0.0026934 0 0.00193285 -0.0118573 0.0205216 -0.0901676 0.113387 -0.496995
0.29 0 -0.000427338 0.0029044 0 0.00182144 -0.0127844 0.0216895 -0.0952869 0.120196 -0.526853
0.3 0 -0.000403759 0.00312743 0 0.0017162 -0.0137641 0.0229279 -0.100715 0.127494 -0.55869
0.31 0 -0.000381576 0.00336321 0 0.0016127 -0.0147997 0.0242419 -0.106464 0.135302 -0.591216
0.32 0 -0.00036071 0.00361253 0 0.00147227 -0.0158943 0.0256367 -0.112477 0.143648 -0.611369
0.33 0 -0.000341085 0.00387623 0 0.000932415 -0.0170476 0.0271177 -0.118008 0.152559 -0.494748
0.34 0 -0.000322629 0.00415519 0 -0.00343072 -0.0182286 0.0286908 -0.115803 0.162064 0.93562
0.35 0 -0.000305277 0.00445037 -0.05 -0.0439796 -0.0193379 0.0303621 -0.105858 0.172196 1.0535
0.36 0 -0.000288965 0.00476279 -0.05 -0.0483334 -0.0203441 0.032138 -0.0954108 0.18299 1.03587
0.37 0 -0.000273634 0.00509351 -0.05 -0.0488544 -0.0212469 0.0340254 -0.0851957 0.194483 1.00714
0.38 0 -0.00025923 0.00544369 -0.05 -0.0489665 -0.0220489 0.0360314 -0.0752581 0.206714 0.980384
0.39 0 -0.0002457 0.00581456 -0.05 -0.049032 -0.0227529 0.0381636 -0.0655717 0.219728 0.956898
0.4 0 -0.000232996 0.00620741 -0.05 -0.0490895 -0.0233611 0.0404301 -0.0561034 0.233568 0.936754
0.41 0 -0.000221072 0.00662363 -0.05 -0.0491433 -0.0238756 0.0428393 -0.0468201 0.248285 0.919903
0.42 0 -0.000209886 0.0070647 -0.05 -0.049194 -0.024298 0.0454004 -0.0376891 0.263929 0.90629
0.43 0 -0.000199397 0.00753218 -0.05 -0.0492418 -0.0246298 0.0481228 -0.0286783 0.280557 0.895874
0.44 0 -0.000189568 0.00802773 -0.05 -0.0492868 -0.0248719 0.0510168 -0.0197559 0.298227 0.888621
0.45 0 -0.000180364 0.00855312 -0.05 -0.0493293 -0.0250251 0.0540929 -0.0108902 0.317004 0.884512
0.46 0 -0.000171752 0.00911023 -0.05 -0.0493695 -0.0250898 0.0573627 -0.00204994 0.336953 0.883537
0.47 0 -0.000163702 0.00970106 -0.05 -0.0494073 -0.025066 0.0608382 0.00679624 0.358147 0.885698
0.48 0 -0.000156186 0.0103277 -0.05 -0.0494431 -0.0249537 0.0645322 0.0156798 0.380661 0.891006
0.49 0 -0.000149178 0.0109925 -0.05 -0.0494768 -0.0247522 0.0684584 0.0246322 0.404576 0.899486
0.5 0 -0.000142652 0.0116977 -0.05 -0.0495087 -0.0244607 0.0726312 0.0336855 0.42998 0.911172
0.51 0 -0.000136586 0.012446 -0.05 -0.0495389 -0.0240781 0.0770659 0.0428719 0.456962 0.926112
0.52 0 -0.00013096 0.01324 -0.05 -0.0495674 -0.0236027 0.0817788 0.0522243 0.485621 0.944362
0.53 0 -0.000125754 0.0140825 -0.05 -0.0495944 -0.0230329 0.0867872 0.0617761 0.51606 0.965995
0.54 0 -0.000120951 0.0149768 -0.05 -0.0496199 -0.0223664 0.0921095 0.0715615 0.548389 0.99109
0.55 0 -0.000116535 0.0159258 -0.05 -0.0496441 -0.0216008 0.0977651 0.0816157 0.582726 1.01974
0.56 0 -0.00011249 0.0169332 -0.05 -0.0496671 -0.0207331 0.103775 0.0919747 0.619194 1.05206
