time(s) ref_x(m) zmp_x(m) cog_x(m) ref_y(m) zmp_y(m) cog_y(m) vel_x(m) vel_y(m) acc_x(m) acc_y(m)
0 0 0 1.19464e-06 0 0 -4.86806e-06 0.000358393 -0.00146042 0.0716786 -0.292083
0.01 0 -0.00197161 8.42407e-06 0 0.00803412 -3.43238e-05 0.00109365 -0.00445546 0.0753722 -0.306925
0.02 0 -0.00206604 2.3079e-05 0 0.00841316 -9.40166e-05 0.00183232 -0.00746231 0.0723631 -0.294445
0.03 0 -0.00196857 4.49661e-05 0 0.00800996 -0.000183137 0.00253968 -0.0103394 0.0691079 -0.28097
0.04 0 -0.00185708 7.37709e-05 0 0.00754999 -0.000300383 0.00321654 -0.0130902 0.0662654 -0.269188
0.05 0 -0.00175005 0.00010921 0 0.00710845 -0.00044458 0.00386729 -0.0157326 0.0638837 -0.259292
0.06 0 -0.00164906 0.000151045 0 0.0066919 -0.000614735 0.00449645 -0.0182851 0.0619484 -0.251223
0.07 0 -0.00155396 0.000199082 0 0.00629965 -0.000810043 0.00510839 -0.0207658 0.0604407 -0.244902
0.08 0 -0.00146442 0.000253169 0 0.00593039 -0.00102987 0.00570731 -0.0231916 0.0593434 -0.240259
0.09 0 -0.00138013 0.000313198 0 0.00558277 -0.00127375 0.00629724 -0.025579 0.0586413 -0.237231
0.1 0 -0.00130078 0.000379097 0 0.00525553 -0.00154137 0.00688205 -0.027944 0.0583214 -0.235762
0.11 0 -0.00122608 0.000450835 0 0.00494749 -0.0018326 0.0074656 -0.0303019 0.058388 -0.235828
0.12 0 -0.00115617 0.000528417 0 0.00465807 -0.00214744 0.00805162 -0.0326679 0.0588173 -0.237371
0.13 0 -0.00109041 0.000611887 0 0.0043857 -0.00248604 0.00864372 -0.0350566 0.0596008 -0.240358
0.14 0 -0.0010285 0.000701323 0 0.00412932 -0.00284869 0.00924538 -0.0374822 0.0607329 -0.244766
0.15 0 -0.000970225 0.000796839 0 0.00388799 -0.00323585 0.0098601 -0.0399589 0.06221 -0.25058
0.16 0 -0.000915364 0.00089858 0 0.00366084 -0.00364809 0.0104913 -0.0425008 0.0640302 -0.25779
0.17 0 -0.000863719 0.00100673 0 0.00344704 -0.00408613 0.0111424 -0.0451217 0.0661933 -0.266394
0.18 0 -0.000815103 0.00112151 0 0.0032458 -0.00455083 0.0118169 -0.0478356 0.0687007 -0.276396
0.19 0 -0.000769339 0.00124316 0 0.00305641 -0.0050432 0.0125182 -0.0506567 0.0715556 -0.28781
0.2 0 -0.000726261 0.00137197 0 0.00287817 -0.00556437 0.0132498 -0.053599 0.0747625 -0.300651
0.21 0 -0.000685711 0.00150827 0 0.00271042 -0.00611563 0.0140152 -0.0566769 0.0783277 -0.314945
0.22 0 -0.000647543 0.0016524 0 0.00255258 -0.00669841 0.0148181 -0.0599053 0.0822593 -0.330723
0.23 0 -0.000611618 0.00180477 0 0.00240405 -0.00731429 0.0156623 -0.063299 0.0865667 -0.348022
0.24 0 -0.000577805 0.0019658 0 0.00226429 -0.00796499 0.0165514 -0.0668736 0.0912612 -0.366887
0.25 0 -0.000545981 0.00213596 0 0.00213282 -0.00865242 0.0174895 -0.0706448 0.0963556 -0.387369
0.26 0 -0.000516031 0.00231576 0 0.00200913 -0.0093786 0.0184806 -0.0746293 0.101864 -0.409527
0.27 0 -0.000487846 0.00250576 0 0.00189279 -0.0101458 0.0195289 -0.0788441 0.107804 -0.433425
0.28 0 -0.000461323 0.00270655 0 0.00178336 -0.0109563 0.0206389 -0.0833069 0.114193 -0.459134
0.29 0 -0.000436368 0.00291876 0 0.00168041 -0.0118128 0.0218151 -0.0880361 0.12105 -0.486719
0.3 0 -0.000412888 0.00314309 0 0.00158313 -0.012718 0.0230624 -0.0930503 0.128398 -0.516119
0.31 0 -0.000390799 0.00338026 0 0.00148713 -0.0136748 0.0243857 -0.0983611 0.13626 -0.546037
0.32 0 -0.000370021 0.00363107 0 0.00135374 -0.014686 0.0257903 -0.103908 0.144663 -0.563403
0.33 0 -0.000350479 0.00389636 0 0.00082051 -0.0157513 0.0272818 -0.108944 0.153634 -0.443807
0.34 0 -0.000332101 0.00417702 0 -0.00353639 -0.016839 0.028866 -0.106215 0.163203 0.989736
0.35 0 -0.000314822 0.004474 -0.05 -0.0440794 -0.0178496 0.030549 -0.095711 0.173404 1.111
0.36 0 -0.000298579 0.00478835 -0.05 -0.0484277 -0.0187514 0.0323374 -0.0846711 0.18427 1.09698
0.37 0 -0.000283314 0.00512113 -0.05 -0.0489435 -0.0195437 0.0342379 -0.0738258 0.19584 1.07209
0.38 0 -0.000268971 0.0054735 -0.05 -0.0490507 -0.0202287 0.0362579 -0.0632183 0.208154 1.04941
0.39 0 -0.000255498 0.00584671 -0.05 -0.0491117 -0.0208088 0.0384049 -0.0528198 0.221254 1.03027
0.4 0 -0.000242848 0.00624205 -0.05 -0.049165 -0.0212857 0.0406871 -0.0425947 0.235187 1.01475
0.41 0 -0.000230975 0.00666093 -0.05 -0.0492147 -0.0216611 0.0431131 -0.0325068 0.250001 1.00282
0.42 0 -0.000219836 0.00710482 -0.05 -0.0492616 -0.0219362 0.0456918 -0.0225206 0.26575 0.994431
0.43 0 -0.000209392 0.00757531 -0.05 -0.0493058 -0.0221117 0.048433 -0.0126006 0.282488 0.989569
0.44 0 -0.000199605 0.00807406 -0.05 -0.0493476 -0.0221883 0.0513468 -0.00271163 0.300277 0.988219
0.45 0 -0.000190441 0.00860286 -0.05 -0.049387 -0.022166 0.0544442 0.00718152 0.319194 0.990412
0.46 0 -0.000182289 0.00916359 -0.05 -0.049425 -0.0220445 0.0577366 0.0171143 0.339292 0.996133
0.47 0 -0.000174716 0.00975828 -0.05 -0.049461 -0.0218234 0.0612363 0.0271219 0.360642 1.0054
0.48 0 -0.000167654 0.0103891 -0.05 -0.0494951 -0.0215017 0.0649561 0.0372403 0.383321 1.01826
0.49 0 -0.000161073 0.0110582 -0.05 -0.0495273 -0.0210781 0.0689098 0.0475054 0.40741 1.03476
0.5 0 -0.00015495 0.0117681 -0.05 -0.0495577 -0.020551 0.0731118 0.0579539 0.432997 1.05496
0.51 0 -0.000149264 0.0125213 -0.05 -0.0495865 -0.0199183 0.0775776 0.0686234 0.460172 1.07894
0.52 0 -0.000143994 0.0133206 -0.05 -0.0496138 -0.0191777 0.0823237 0.079552 0.489035 1.10679
0.53 0 -0.000139124 0.0141688 -0.05 -0.0496397 -0.0183263 0.0873673 0.090779 0.51969 1.13861
0.54 0 -0.000134637 0.015069 -0.05 -0.0496642 -0.017361 0.092727 0.102345 0.552248 1.17453
0.55 0 -0.000130518 0.0160244 -0.05 -0.0496875 -0.0162781 0.0984224 0.114291 0.586826 1.21468
0.56 0 -0.000126754 0.0170386 -0.05 -0.0497096 -0.0150737 0.104474 0.12666 0.62355 1.2592
0.57 0 -0.000123333 0.0181152 -0.05 -0.0497306 -0.0137434 0.110905 0.139497 0.662553 1.30827
0.58 0 -0.000120243 0.019258 -0.05 -0.0497507 -0.0122821 0.117737 0.152849 0.703977 1.36206
0.59 0 -0.000117477 0.0204713 -0.05 -0.0497698 -0.0106845 0.124997 0.166763 0.747971 1.42077
0.6 0 -0.000115024 0.0217595 -0.05 -0.0497881 -0.00894478 0.13271 0.18129 0.794696 1.48461
0.61 0 -0.000112879 0.0231272 -0.05 -0.0498057 -0.00705649 0.140906 0.196482 0.844321 1.55383
0.62 0 -0.00011103 0.0245793 -0.05 -0.0498225 -0.00501273 0.149612 0.212395 0.897024 1.62867
0.63 0 -0.000109417 0.0261212 -0.05 -0.0498385 -0.00280601 0.158862 0.229085 0.952977 1.70937
0.64 0 -0.000107524 0.0277585 -0.05 -0.0498528 -0.000428247 0.168688 0.246611 1.01221 1.79586
0.65 0 -0.000100485 0.029497 -0.05 -0.0498557 0.00212914 0.179116 0.265016 1.07326 1.88513
0.66 0 -4.23237e-05 0.0313426 -0.05 -0.0497553 0.00487457 0.190085 0.284171 1.12056 1.94591
0.67 0 0.00050156 0.0332975 -0.05 -0.0486825 0.00780915 0.200712 0.302299 1.00491 1.67969
0.68 0 0.0056394 0.0353267 -0.05 -0.0384208 0.0108592 0.202307 0.302007 -0.685941 -1.73818
0.69 0.06 0.0542058 0.0373136 0.07 0.058699 0.0137879 0.194875 0.283293 -0.800416 -2.00465
0.7 0.06 0.0593434 0.0392231 0.07 0.0689618 0.0165216 0.187119 0.263547 -0.750776 -1.94439
0.71 0.06 0.0598867 0.0410579 0.07 0.070037 0.0190613 0.179934 0.244546 -0.686196 -1.85589
0.72 0.06 0.059944 0.042824 0.07 0.0701408 0.0214154 0.173392 0.226414 -0.622242 -1.77042
0.73 0.06 0.0599499 0.0445278 0.07 0.0701426 0.0235923 0.167479 0.209107 -0.560352 -1.69102
0.74 0.06 0.0599503 0.0461756 0.07 0.0701342 0.0256001 0.162175 0.192563 -0.500478 -1.61775
0.75 0.06 0.0599502 0.0477733 0.07 0.0701253 0.0274459 0.15746 0.176723 -0.442421 -1.55038
0.76 0.06 0.05995 0.0493267 0.07 0.0701169 0.0291367 0.153318 0.161527 -0.385972 -1.48866
0.77 0.06 0.0599498 0.0508415 0.07 0.070109 0.0306785 0.149734 0.146922 -0.330925 -1.43238
0.78 0.06 0.0599495 0.0523232 0.07 0.0701017 0.0320769 0.146694 0.132854 -0.27708 -1.38132
0.79 0.06 0.0599493 0.0537772 0.07 0.0700949 0.0333372 0.144187 0.119271 -0.224242 -1.33531
0.8 0.06 0.059949 0.0552087 0.07 0.0700889 0.0344638 0.142205 0.106123 -0.172218 -1.29418
0.81 0.06 0.0599486 0.056623 0.07 0.0700834 0.0354609 0.14074 0.0933634 -0.12082 -1.25777
0.82 0.06 0.0599483 0.0580252 0.07 0.0700783 0.0363322 0.139786 0.0809449 -0.0698587 -1.22594
0.83 0.06 0.0599479 0.0594204 0.07 0.0700737 0.0370808 0.139341 0.0688223 -0.0191503 -1.19858
0.84 0.06 0.0599475 0.0608137 0.07 0.0700693 0.0377095 0.139403 0.0569513 0.03149 -1.1756
0.85 0.06 0.059947 0.0622102 0.07 0.0700654 0.0382205 0.139972 0.0452888 0.0822465 -1.1569
0.86 0.06 0.0599465 0.0636148 0.07 0.0700618 0.0386158 0.14105 0.0337923 0.133304 -1.14242
0.87 0.06 0.0599459 0.0650329 0.07 0.0700585 0.0388968 0.14264 0.0224197 0.184848 -1.1321
0.88 0.06 0.0599453 0.0664694 0.07 0.0700555 0.0390645 0.14475 0.0111296 0.237066 -1.12591
0.89 0.06 0.0599446 0.0679296 0.07 0.0700529 0.0391195 0.147386 -0.000119119 0.290149 -1.12383
0.9 0.06 0.0599439 0.0694189 0.07 0.0700505 0.0390621 0.150558 -0.0113674 0.344289 -1.12584
0.91 0.06 0.059943 0.0709426 0.07 0.0700485 0.038892 0.154278 -0.0226564 0.399684 -1.13195
0.92 0.06 0.0599421 0.0725063 0.07 0.0700467 0.0386087 0.158559 -0.0340271 0.456534 -1.14219
0.93 0.06 0.0599412 0.0741157 0.07 0.0700452 0.0382111 0.163417 -0.045521 0.515048 -1.15659
0.94 0.06 0.0599401 0.0757766 0.07 0.0700439 0.0376977 0.168869 -0.05718 0.575437 -1.17521
0.95 0.06 0.0599389 0.0774951 0.07 0.0700429 0.0370668 0.174936 -0.0690466 0.637922 -1.19811
0.96 0.06 0.0599376 0.0792775 0.07 0.0700422 0.0363159 0.18164 -0.081164 0.702728 -1.22537
0.97 0.06 0.0599363 0.0811301 0.07 0.0700416 0.0354425 0.189004 -0.0935761 0.770073 -1.25706
0.98 0.06 0.0599355 0.0830598 0.07 0.0700406 0.0344433 0.197054 -0.106327 0.840024 -1.29307
0.99 0.06 0.0599399 0.0850736 0.07 0.0700325 0.0333147 0.20581 -0.119449 0.911164 -1.3313
1 0.06 0.0599957 0.0871782 0.07 0.0699562 0.0320534 0.215206 -0.132859 0.967953 -1.35083
1.01 0.06 0.0605373 0.0893768 0.07 0.0692321 0.0306605 0.224352 -0.145376 0.861242 -1.15257
1.02 0.06 0.0656729 0.0916354 0.07 0.0623826 0.0291875 0.224552 -0.145406 -0.821205 1.14665
1.03 0.12 0.114237 0.0938381 -0.01 -0.00237185 0.027794 0.215807 -0.132948 -0.92777 1.34489
1.04 0.12 0.119373 0.0959507 -0.01 -0.00922121 0.0265315 0.206815 -0.119597 -0.870687 1.32531
1.05 0.12 0.119915 0.0979765 -0.01 -0.00994504 0.0254011 0.198466 -0.106536 -0.799104 1.287
1.06 0.12 0.11997 0.0999224 -0.01 -0.010021 0.0243995 0.190827 -0.0938462 -0.72856 1.25088
1.07 0.12 0.119974 0.101795 -0.01 -0.0100285 0.0235231 0.183882 -0.0814965 -0.660471 1.21905
1.08 0.12 0.119973 0.103602 -0.01 -0.0100288 0.0227686 0.177606 -0.0694431 -0.594765 1.19163
1.09 0.12 0.119972 0.10535 -0.01 -0.0100286 0.0221334 0.171976 -0.0576422 -0.531222 1.16854
1.1 0.12 0.11997 0.107044 -0.01 -0.0100283 0.0216151 0.166972 -0.046051 -0.469612 1.1497
1.11 0.12 0.119969 0.108691 -0.01 -0.0100281 0.0212118 0.162575 -0.0346272 -0.409712 1.13505
1.12 0.12 0.119968 0.110297 -0.01 -0.0100281 0.0209221 0.15877 -0.0233294 -0.351302 1.12453
1.13 0.12 0.119966 0.111868 -0.01 -0.0100282 0.0207449 0.155543 -0.0121162 -0.294172 1.1181
1.14 0.12 0.119965 0.11341 -0.01 -0.0100283 0.0206796 0.152881 -0.000947102 -0.238112 1.11573
1.15 0.12 0.119964 0.114928 -0.01 -0.0100286 0.020726 0.150776 0.0102187 -0.182919 1.11743
1.16 0.12 0.119962 0.116427 -0.01 -0.010029 0.0208841 0.14922 0.0214218 -0.128391 1.1232
1.17 0.12 0.119961 0.117914 -0.01 -0.0100295 0.0211547 0.148206 0.0327031 -0.0743307 1.13305
1.18 0.12 0.11996 0.119393 -0.01 -0.0100301 0.0215386 0.147732 0.0441034 -0.0205407 1.14702
1.19 0.12 0.119959 0.120871 -0.01 -0.0100308 0.0220373 0.147795 0.0556644 0.0331747 1.16517
1.2 0.12 0.119957 0.122351 -0.01 -0.0100317 0.0226525 0.148396 0.0674281 0.087011 1.18756
1.21 0.12 0.119956 0.12384 -0.01 -0.0100327 0.0233866 0.149537 0.0794372 0.141164 1.21427
1.22 0.12 0.119955 0.125344 -0.01 -0.0100338 0.0242423 0.151222 0.0917356 0.195832 1.24541
1.23 0.12 0.119954 0.126867 -0.01 -0.010035 0.0252225 0.153457 0.104368 0.251212 1.28107
1.24 0.12 0.119952 0.128415 -0.01 -0.0100363 0.0263309 0.15625 0.11738 0.307507 1.3214
1.25 0.12 0.119951 0.129993 -0.01 -0.0100379 0.0275715 0.159613 0.13082 0.364922 1.36653
1.26 0.12 0.11995 0.131609 -0.01 -0.0100395 0.0289489 0.163556 0.144736 0.423665 1.41664
1.27 0.12 0.119948 0.133267 -0.01 -0.0100413 0.030468 0.168094 0.159179 0.483951 1.47191
1.28 0.12 0.119947 0.134973 -0.01 -0.0100433 0.0321344 0.173243 0.174201 0.545999 1.53254
1.29 0.12 0.119945 0.136733 -0.01 -0.0100455 0.0339541 0.179024 0.189857 0.610035 1.59874
1.3 0.12 0.119944 0.138555 -0.01 -0.0100479 0.0359338 0.185455 0.206205 0.676289 1.67076
1.31 0.12 0.119942 0.140445 -0.01 -0.0100503 0.0380807 0.192562 0.223303 0.744985 1.74881
1.32 0.12 0.119941 0.142409 -0.01 -0.0100518 0.0404026 0.200367 0.241211 0.816195 1.83284
1.33 0.12 0.119945 0.144455 -0.01 -0.0100426 0.0429078 0.208891 0.259974 0.888507 1.9198
1.34 0.12 0.12 0.146589 -0.01 -0.00993089 0.0456045 0.218065 0.279465 0.946386 1.97842
1.35 0.12 0.120542 0.148815 -0.01 -0.00884737 0.0484936 0.227001 0.297908 0.840684 1.71018
1.36 0.12 0.125677 0.151099 -0.01 0.00142436 0.0515012 0.227 0.297911 -0.840828 -1.70957
1.37 0.18 0.174241 0.153325 0.11 0.0985536 0.0543904 0.218063 0.279474 -0.94653 -1.9778
1.38 0.18 0.179377 0.15546 0.11 0.108825 0.0570872 0.208887 0.259989 -0.888653 -1.91919
1.39 0.18 0.179918 0.157505 0.11 0.109909 0.0595926 0.200362 0.241232 -0.816341 -1.83222
1.4 0.18 0.179973 0.159469 0.11 0.110021 0.0619147 0.192555 0.22333 -0.745132 -1.74819
1.41 0.18 0.179977 0.161359 0.11 0.11003 0.0640619 0.185447 0.206239 -0.676439 -1.67012
1.42 0.18 0.179976 0.16318 0.11 0.110028 0.066042 0.179014 0.189898 -0.610187 -1.59809
1.43 0.18 0.179975 0.164941 0.11 0.110026 0.0678621 0.173232 0.174248 -0.546154 -1.53188
1.44 0.18 0.179973 0.166647 0.11 0.110024 0.069529 0.168081 0.159232 -0.484109 -1.47124
1.45 0.18 0.179971 0.168305 0.11 0.110022 0.0710487 0.163541 0.144796 -0.423826 -1.41596
1.46 0.18 0.17997 0.16992 0.11 0.11002 0.0724267 0.159597 0.130887 -0.365087 -1.36583
1.47 0.18 0.179968 0.171499 0.11 0.110018 0.0736681 0.156233 0.117455 -0.307676 -1.32068
1.48 0.18 0.179967 0.173047 0.11 0.110017 0.0747772 0.153438 0.10445 -0.251386 -1.28033
1.49 0.18 0.179965 0.174569 0.11 0.110016 0.0757583 0.151201 0.0918249 -0.19601 -1.24465
