time(s) ref_x(m) zmp_x(m) cog_x(m) ref_y(m) zmp_y(m) cog_y(m) vel_x(m) vel_y(m) acc_x(m) acc_y(m)
0 0 0 1.2078e-06 0 0 -5.25345e-06 0.000362339 -0.00157604 0.0724678 -0.315207
0.01 0 -0.00199332 8.51677e-06 0 0.00867017 -3.70413e-05 0.00110567 -0.00480826 0.0761992 -0.331238
0.02 0 -0.00208871 2.33327e-05 0 0.00907959 -0.000101462 0.00185244 -0.00805337 0.0731542 -0.317783
0.03 0 -0.00199008 4.54599e-05 0 0.00864487 -0.000197642 0.00256751 -0.0111586 0.0698603 -0.303256
0.04 0 -0.0018773 7.45801e-05 0 0.00814885 -0.000324179 0.00325173 -0.0141276 0.0669839 -0.290554
0.05 0 -0.00176901 0.000110407 0 0.00767271 -0.000479805 0.00390952 -0.0169798 0.0645734 -0.279887
0.06 0 -0.00166684 0.000152698 0 0.0072235 -0.000663453 0.00454546 -0.0197352 0.0626144 -0.271191
0.07 0 -0.00157063 0.000201258 0 0.00680052 -0.000874251 0.00516397 -0.0224131 0.0610877 -0.264382
0.08 0 -0.00148006 0.000255933 0 0.00640231 -0.00111152 0.00576929 -0.0250319 0.059976 -0.259382
0.09 0 -0.00139478 0.000316613 0 0.00602744 -0.00137475 0.00636549 -0.0276094 0.0592639 -0.256125
0.1 0 -0.0013145 0.000383226 0 0.00567455 -0.00166362 0.0069565 -0.0301628 0.0589383 -0.25455
0.11 0 -0.00123893 0.000455739 0 0.00534235 -0.00197798 0.00754623 -0.0327087 0.0590088 -0.254631
0.12 0 -0.00116836 0.000534159 0 0.00503022 -0.00231783 0.00813851 -0.0352634 0.0594463 -0.256306
0.13 0 -0.00110198 0.000618529 0 0.00473647 -0.00268333 0.00873695 -0.0378426 0.0602416 -0.25954
0.14 0 -0.0010395 0.00070893 0 0.00445996 -0.00307481 0.0093451 -0.0404618 0.0613891 -0.264307
0.15 0 -0.000980677 0.000805476 0 0.00419969 -0.00349275 0.00996647 -0.0431363 0.0628851 -0.270591
