time(s) ref_x(m) zmp_x(m) cog_x(m) ref_y(m) zmp_y(m) cog_y(m) vel_x(m) vel_y(m) acc_x(m) acc_y(m)
0 0 0 0.102285 0.05 0.05 0.00190067 0.237548 -0.164093 -4.91905 2.39793
0.01 0 0.237671 0.104409 0.05 -0.0640975 0.000381985 0.186704 -0.13941 -5.24985 2.53864
0.02 0 0.2489 0.106021 0.05 -0.0694888 -0.000889415 0.136662 -0.115293 -4.75845 2.28471
0.03 0 0.236988 0.107159 0.05 -0.0637714 -0.00193269 0.0917536 -0.093821 -4.22324 2.00975
0.04 0 0.223395 0.107874 0.05 -0.0572468 -0.00277472 0.0520216 -0.0750143 -3.72316 1.75158
0.05 0 0.210346 0.108215 0.05 -0.0509834 -0.00344127 0.0170886 -0.0586931 -3.26343 1.51265
0.06 0 0.198034 0.10823 0.05 -0.0450739 -0.00395625 -0.0134368 -0.0446711 -2.84165 1.29175
0.07 0 0.186441 0.10796 0.05 -0.0395089 -0.00434178 -0.0399194 -0.0327755 -2.45487 1.08737
0.08 0 0.175525 0.107444 0.05 -0.0342695 -0.00461832 -0.062695 -0.0228482 -2.10025 0.898102
0.09 0 0.165249 0.106718 0.05 -0.0293367 -0.00480482 -0.0820719 -0.0147447 -1.77513 0.722591
0.1 0 0.155574 0.105813 0.05 -0.0246927 -0.00491885 -0.0983328 -0.00833379 -1.47705 0.559589
0.11 0 0.146466 0.10476 0.05 -0.0203204 -0.00497674 -0.111736 -0.00349626 -1.20369 0.407917
0.12 0 0.13789 0.103587 0.05 -0.0162038 -0.00499366 -0.12252 -0.000124249 -0.95296 0.266485
0.13 0 0.129815 0.102318 0.05 -0.0123281 -0.00498379 -0.130899 0.0018795 -0.722874 0.134266
0.14 0 0.122214 0.100976 0.05 -0.00867919 -0.00496034 -0.137071 0.00260233 -0.511591 0.0102982
0.15 0 0.115057 0.0995834 0.05 -0.00524378 -0.00493575 -0.141216 0.00212219 -0.317396 -0.106325
0.16 0 0.108319 0.0981583 0.05 -0.00200937 -0.00492168 -0.143497 0.000508291 -0.138692 -0.216455
0.17 0 0.101976 0.0967192 0.05 0.00103581 -0.00492916 -0.14406 -0.00217847 0.0260104 -0.320896
0.18 0 0.0960033 0.0952824 0.05 0.00390285 -0.00496865 -0.143039 -0.00588499 0.178101 -0.420407
0.19 0 0.0903806 0.0938633 0.05 0.0066022 -0.00505011 -0.140555 -0.0105656 0.318877 -0.515707
0.2 0 0.0850869 0.0924759 0.05 0.00914367 -0.00518308 -0.136712 -0.0161815 0.44955 -0.607479
0.21 0 0.0801029 0.0911332 0.05 0.0115365 -0.00537675 -0.131608 -0.0227007 0.571256 -0.696373
0.22 0 0.0754106 0.0898476 0.05 0.0137895 -0.00564002 -0.125327 -0.0300977 0.685056 -0.78301
0.23 0 0.0709928 0.0886304 0.05 0.0159107 -0.00598156 -0.117942 -0.0383526 0.791951 -0.867987
0.24 0 0.0668336 0.0874922 0.05 0.017908 -0.00640988 -0.109518 -0.047452 0.892879 -0.951876
0.25 0 0.0629176 0.0864433 0.05 0.0197885 -0.00693339 -0.10011 -0.0573875 0.988725 -1.03523
0.26 0 0.0592307 0.0854932 0.05 0.0215592 -0.00756041 -0.0897644 -0.0681566 1.08033 -1.11859
0.27 0 0.0557594 0.084651 0.05 0.0232265 -0.00829931 -0.0785204 -0.079762 1.16847 -1.20248
0.28 0 0.0524912 0.0839257 0.05 0.0247964 -0.00915846 -0.0664084 -0.0922114 1.25392 -1.2874
0.29 0 0.0494141 0.0833257 0.05 0.0262746 -0.0101464 -0.053452 -0.105518 1.33736 -1.37384
0.3 0 0.0465176 0.0828594 0.05 0.0276656 -0.0112717 -0.0396687 -0.119697 1.41931 -1.46199
0.31 0 0.0437958 0.082535 0.05 0.0289664 -0.0125433 -0.0250784 -0.134754 1.49875 -1.54956
0.32 0 0.0412849 0.0823602 0.05 0.0301051 -0.0139693 -0.00978199 -0.150556 1.56052 -1.6107
