time(s) ref_x(m) zmp_x(m) cog_x(m) ref_y(m) zmp_y(m) cog_y(m) vel_x(m) vel_y(m) acc_x(m) acc_y(m)
0 0 0 -0.0363238 0.05 0.05 0.0046883 0.191486 0.208363 -0.449578 -1.69667
0.01 0 -0.0239501 -0.0344296 0.05 0.0513857 0.00668827 0.187541 0.191748 -0.339567 -1.62636
0.02 0 -0.0250837 -0.0325707 0.05 0.0514503 0.00852558 0.184265 0.175831 -0.315562 -1.55705
0.03 0 -0.0238855 -0.0307436 0.05 0.0513801 0.0102071 0.181193 0.16058 -0.298866 -1.49305
0.04 0 -0.0225179 -0.0289463 0.05 0.0513002 0.0117392 0.178292 0.145942 -0.281268 -1.4346
0.05 0 -0.021205 -0.0271771 0.05 0.0512235 0.0131278 0.175576 0.131862 -0.261995 -1.38152
0.06 0 -0.0199662 -0.0254341 0.05 0.0511513 0.0143781 0.173061 0.118286 -0.241047 -1.33362
0.07 0 -0.0187998 -0.0237152 0.05 0.0510834 0.015495 0.170763 0.105164 -0.218494 -1.29072
0.08 0 -0.0177016 -0.0220181 0.05 0.0510195 0.0164828 0.168699 0.0924472 -0.194397 -1.25265
0.09 0 -0.0166677 -0.0203404 0.05 0.0509594 0.0173452 0.166883 0.0800877 -0.168805 -1.21927
0.1 0 -0.0156944 -0.0186795 0.05 0.050903 0.0180856 0.16533 0.0680391 -0.141754 -1.19044
0.11 0 -0.014778 -0.0170328 0.05 0.0508499 0.0187068 0.164055 0.0562566 -0.113238 -1.16606
0.12 0 -0.0139162 -0.0153975 0.05 0.0508003 0.0192114 0.163072 0.0446962 -0.0832949 -1.14603
0.13 0 -0.0131049 -0.0137704 0.05 0.0507536 0.0196014 0.162396 0.0333146 -0.0519259 -1.13027
0.14 0 -0.0123412 -0.0121485 0.05 0.0507098 0.0198782 0.162041 0.0220697 -0.0191184 -1.11872
0.15 0 -0.0116223 -0.0105284 0.05 0.0506687 0.0200431 0.162021 0.0109194 0.015152 -1.11133
0.16 0 -0.0109455 -0.00890688 0.05 0.0506301 0.0200968 0.162351 -0.000177557 0.0509201 -1.10806
0.17 0 -0.0103083 -0.0072802 0.05 0.0505939 0.0200396 0.163047 -0.0112624 0.0882319 -1.10891
0.18 0 -0.0097086 -0.00564466 0.05 0.0505599 0.0198714 0.164124 -0.0223762 0.127144 -1.11386
0.19 0 -0.00914403 -0.00399639 0.05 0.0505281 0.0195918 0.165598 -0.0335602 0.167722 -1.12294
0.2 0 -0.00861261 -0.00233132 0.05 0.0504983 0.0191998 0.167487 -0.0448557 0.210045 -1.13616
0.21 0 -0.00811238 -0.000645205 0.05 0.0504704 0.0186942 0.169808 -0.0563045 0.2542 -1.15359
0.22 0 -0.00764154 0.00106636 0.05 0.0504443 0.0180731 0.172581 -0.0679488 0.300285 -1.17527
0.23 0 -0.00719837 0.00280798 0.05 0.0504199 0.0173344 0.175824 -0.0798315 0.348409 -1.20128
0.24 0 -0.00678127 0.00458448 0.05 0.0503972 0.0164755 0.17956 -0.0919965 0.398693 -1.23172
0.25 0 -0.00638871 0.00640089 0.05 0.050376 0.0154934 0.18381 -0.104489 0.451266 -1.26668
0.26 0 -0.00601927 0.00826247 0.05 0.0503562 0.0143845 0.188597 -0.117353 0.506272 -1.30631
0.27 0 -0.00567161 0.0101747 0.05 0.0503379 0.0131449 0.193948 -0.130639 0.563864 -1.35073
0.28 0 -0.00534447 0.0121434 0.05 0.0503208 0.0117702 0.199888 -0.144393 0.624206 -1.4001
0.29 0 -0.00503659 0.0141745 0.05 0.050305 0.0102553 0.206447 -0.158666 0.687459 -1.45457
0.3 0 -0.00474634 0.0162745 0.05 0.0502894 0.00859495 0.213652 -0.173509 0.753637 -1.51404
0.31 0 -0.00446782 0.0184498 0.05 0.0502659 0.00678312 0.221527 -0.188959 0.821274 -1.57595
0.32 0 -0.00415406 0.020707 0.05 0.0501578 0.0048141 0.230007 -0.20491 0.874782 -1.61417
0.33 0 -0.00336953 0.023049 0.05 0.0492408 0.00268819 0.238206 -0.21988 0.764967 -1.37992
0.34 0 0.00199488 0.0254412 0.05 0.0406677 0.000468074 0.237428 -0.219376 -0.920447 1.48072
0.35 0.06 0.0507746 0.0277677 -0.05 -0.0402858 -0.00164774 0.227677 -0.203396 -1.02988 1.71528
0.36 0.06 0.056113 0.0299939 -0.05 -0.0488574 -0.00359657 0.217649 -0.186431 -0.975608 1.67769
0.37 0.06 0.0568455 0.0321227 -0.05 -0.0497715 -0.00537801 0.208237 -0.169959 -0.906811 1.61673
0.38 0.06 0.0570808 0.0341609 -0.05 -0.0498751 -0.00699774 0.199508 -0.154083 -0.839063 1.55852
0.39 0.06 0.0572543 0.0361151 -0.05 -0.0498927 -0.00846152 0.191443 -0.138762 -0.773811 1.50563
0.4 0.06 0.0574126 0.0379919 -0.05 -0.0499009 -0.00977465 0.184019 -0.123943 -0.711015 1.45817
0.41 0.06 0.0575611 0.0397975 -0.05 -0.0499078 -0.0109419 0.177212 -0.109572 -0.650487 1.416
0.42 0.06 0.0577008 0.0415381 -0.05 -0.0499142 -0.0119674 0.170999 -0.0955976 -0.592025 1.37896
0.43 0.06 0.0578324 0.0432194 -0.05 -0.0499204 -0.012855 0.165362 -0.0819682 -0.535435 1.34693
0.44 0.06 0.0579562 0.0448472 -0.05 -0.0499264 -0.0136078 0.160282 -0.0686347 -0.480528 1.31978
0.45 0.06 0.0580727 0.0464269 -0.05 -0.049932 -0.0142285 0.155744 -0.0555485 -0.427132 1.29745
0.46 0.06 0.0581828 0.0479638 -0.05 -0.0499382 -0.0147194 0.151733 -0.042662 -0.375055 1.27984
0.47 0.06 0.0582864 0.0494632 -0.05 -0.0499442 -0.0150823 0.148237 -0.0299285 -0.32412 1.26686
0.48 0.06 0.058384 0.0509302 -0.05 -0.04995 -0.0153183 0.145246 -0.0173018 -0.274155 1.25849
0.49 0.06 0.0584758 0.0523698 -0.05 -0.0499556 -0.0154285 0.14275 -0.00473593 -0.224989 1.25468
0.5 0.06 0.0585622 0.0537869 -0.05 -0.049961 -0.0154131 0.140743 0.00781463 -0.176457 1.25543
0.51 0.06 0.0586435 0.0551863 -0.05 -0.0499663 -0.0152721 0.139218 0.0203955 -0.128391 1.26074
0.52 0.06 0.05872 0.0565728 -0.05 -0.0499713 -0.0150049 0.138173 0.0330523 -0.0806266 1.27062
0.53 0.06 0.0587919 0.0579513 -0.05 -0.0499763 -0.0146106 0.137605 0.045831 -0.0330005 1.28513
0.54 0.06 0.0588596 0.0593265 -0.05 -0.0499811 -0.0140878 0.137513 0.0587782 0.014652 1.3043
0.55 0.06 0.0589233 0.0607032 -0.05 -0.0499858 -0.0134344 0.137899 0.0719406 0.0624959 1.3282
0.56 0.06 0.0589831 0.0620861 -0.05 -0.0499904 -0.0126481 0.138765 0.0853664 0.110697 1.35694
0.57 0.06 0.0590394 0.0634801 -0.05 -0.049995 -0.011726 0.140116 0.0991041 0.159424 1.39061
0.58 0.06 0.0590923 0.0648901 -0.05 -0.0499996 -0.0106648 0.141957 0.113204 0.208846 1.42933
0.59 0.06 0.059142 0.0663209 -0.05 -0.0500041 -0.00946054 0.144297 0.127717 0.259137 1.47325
0.6 0.06 0.0591887 0.0677777 -0.05 -0.0500086 -0.00810889 0.147145 0.142695 0.310473 1.52252
0.61 0.06 0.0592326 0.0692656 -0.05 -0.0500131 -0.0066049 0.150513 0.158195 0.363036 1.57733
0.62 0.06 0.0592737 0.0707897 -0.05 -0.0500176 -0.00494308 0.154413 0.174271 0.417009 1.63787
0.63 0.06 0.0593124 0.0723556 -0.05 -0.0500221 -0.00311737 0.158861 0.190982 0.472572 1.70433
0.64 0.06 0.0593491 0.0739688 -0.05 -0.0500256 -0.00112113 0.163873 0.208386 0.529808 1.77663
0.65 0.06 0.059387 0.075635 -0.05 -0.0500192 0.00105282 0.169461 0.226529 0.587834 1.85197
0.66 0.06 0.0594561 0.0773598 -0.05 -0.0499187 0.00341154 0.175583 0.245298 0.636606 1.90167
0.67 0.06 0.0598386 0.0791465 -0.05 -0.0489279 0.00595544 0.181663 0.263067 0.579371 1.65228
0.68 0.06 0.0632006 0.0809741 -0.05 -0.0395201 0.00861646 0.182058 0.26391 -0.500303 -1.48377
0.69 0.0989371 0.0947439 0.0827688 0.0599268 0.0494542 0.0111772 0.176771 0.247828 -0.557128 -1.73255
0.7 0.0989371 0.0981026 0.0845094 0.0599268 0.0588622 0.0135697 0.171448 0.230757 -0.507534 -1.68164
0.71 0.0989371 0.0984783 0.0861995 0.0599268 0.0598534 0.0157945 0.166669 0.214327 -0.44827 -1.60448
0.72 0.0989371 0.0985372 0.0878448 0.0599268 0.0599545 0.0178588 0.162481 0.198656 -0.389374 -1.52974
0.73 0.0989371 0.0985615 0.0894511 0.0599268 0.0599617 0.01977 0.158875 0.183706 -0.331722 -1.46021
0.74 0.0989371 0.098581 0.0910242 0.0599268 0.0599592 0.0215351 0.15584 0.169425 -0.27522 -1.39596
0.75 0.0989371 0.098599 0.0925698 0.0599268 0.0599559 0.0231606 0.153366 0.155761 -0.219677 -1.33679
0.76 0.0989371 0.0986159 0.0940933 0.0599268 0.0599529 0.0246523 0.151443 0.142665 -0.164895 -1.28248
0.77 0.0989371 0.0986317 0.0956004 0.0599268 0.05995 0.0260156 0.150065 0.130088 -0.110677 -1.23285
0.78 0.0989371 0.0986466 0.0970965 0.0599268 0.0599474 0.0272556 0.149228 0.117986 -0.0568272 -1.18771
0.79 0.0989371 0.0986605 0.0985868 0.0599268 0.059945 0.0283768 0.148928 0.106312 -0.0031226 -1.14689
0.8 0.0989371 0.0986727 0.100077 0.0599268 0.0599427 0.0293832 0.149165 0.0950267 0.0506024 -1.11025
0.81 0.0989371 0.0986841 0.101572 0.0599268 0.0599405 0.0302785 0.149941 0.0840872 0.104539 -1.07765
0.82 0.0989371 0.0986947 0.103077 0.0599268 0.0599386 0.0310659 0.151258 0.0734541 0.158881 -1.04898
0.83 0.0989371 0.0987045 0.104599 0.0599268 0.0599369 0.0317484 0.153122 0.0630885 0.213826 -1.02413
0.84 0.0989371 0.0987138 0.106142 0.0599268 0.0599354 0.0323285 0.155539 0.0529529 0.269571 -1.003
0.85 0.0989371 0.0987223 0.107712 0.0599268 0.059934 0.0328081 0.158518 0.0430102 0.326319 -0.985531
0.86 0.0989371 0.0987303 0.109314 0.0599268 0.0599328 0.0331892 0.162071 0.0332243 0.384275 -0.971649
0.87 0.0989371 0.0987376 0.110955 0.0599268 0.0599318 0.033473 0.166211 0.0235596 0.443648 -0.961305
0.88 0.0989371 0.0987444 0.11264 0.0599268 0.059931 0.0336607 0.170952 0.0139807 0.504654 -0.954463
0.89 0.0989371 0.0987506 0.114376 0.0599268 0.0599303 0.0337528 0.176313 0.00445294 0.567514 -0.951096
0.9 0.0989371 0.0987564 0.116169 0.0599268 0.0599297 0.0337498 0.182313 -0.0050585 0.632455 -0.951192
0.91 0.0989371 0.0987616 0.118024 0.0599268 0.0599294 0.0336516 0.188974 -0.0145882 0.699714 -0.954753
0.92 0.0989371 0.0987663 0.11995 0.0599268 0.0599292 0.0334578 0.19632 -0.0241709 0.769534 -0.96179
0.93 0.0989371 0.0987705 0.121953 0.0599268 0.0599291 0.0331679 0.204379 -0.0338415 0.842168 -0.972329
0.94 0.0989371 0.0987743 0.12404 0.0599268 0.0599292 0.0327806 0.213179 -0.0436352 0.917881 -0.986409
0.95 0.0989371 0.0987776 0.126219 0.0599268 0.0599295 0.0322946 0.222753 -0.0535877 0.996946 -1.00408
0.96 0.0989371 0.0987805 0.128498 0.0599268 0.0599299 0.0317082 0.233136 -0.0637351 1.07965 -1.0254
0.97 0.0989371 0.098783 0.130885 0.0599268 0.0599303 0.0310192 0.244365 -0.0741143 1.16626 -1.05044
0.98 0.0989371 0.0987861 0.133388 0.0599268 0.0599303 0.030225 0.256481 -0.0847619 1.25682 -1.07907
0.99 0.0989371 0.0987972 0.136018 0.0599268 0.0599243 0.0293229 0.26951 -0.0957047 1.34902 -1.10949
1 0.0989371 0.0988886 0.138781 0.0599268 0.0598595 0.0283102 0.283347 -0.106871 1.4184 -1.12371
1.01 0.0989371 0.0997426 0.141683 0.0599268 0.059238 0.0271882 0.296593 -0.117243 1.23072 -0.950663
1.02 0.0989371 0.10781 0.144666 0.0599268 0.0533532 0.0260012 0.295589 -0.116857 -1.43146 1.02781
1.03 0.193143 0.184064 0.147547 -0.00881418 -0.00228719 0.0248869 0.280332 -0.105712 -1.61986 1.20114
1.04 0.193143 0.19213 0.15027 -0.00881418 -0.00817198 0.0238896 0.264473 -0.093769 -1.55191 1.18748
1.05 0.193143 0.192984 0.152839 -0.00881418 -0.00879337 0.0230108 0.249405 -0.0820421 -1.46187 1.1579
1.06 0.193143 0.193074 0.155261 -0.00881418 -0.00885809 0.0222478 0.235224 -0.0706006 -1.3742 1.1304
