time(s) ref_x(m) zmp_x(m) cog_x(m) ref_y(m) zmp_y(m) cog_y(m) vel_x(m) vel_y(m) acc_x(m) acc_y(m)
0 0 0 -0.0354167 0.05 0.05 0.00344758 0.186106 0.20148 -0.398057 -1.60238
0.01 0 -0.024461 -0.0335737 0.05 0.0475498 0.00538351 0.182671 0.185829 -0.289018 -1.52782
0.02 0 -0.0256191 -0.0317611 0.05 0.0474336 0.00716641 0.179888 0.170852 -0.267608 -1.46749
0.03 0 -0.0243957 -0.0299754 0.05 0.047556 0.00880247 0.177282 0.156449 -0.253465 -1.41313
0.04 0 -0.0229992 -0.028215 0.05 0.0476959 0.0102971 0.174824 0.142565 -0.238213 -1.3637
0.05 0 -0.0216586 -0.0264783 0.05 0.0478302 0.0116553 0.172527 0.129152 -0.221073 -1.31896
0.06 0 -0.0203938 -0.0247638 0.05 0.047957 0.0128816 0.170412 0.116163 -0.202054 -1.27875
0.07 0 -0.0192027 -0.0230694 0.05 0.0480765 0.0139799 0.168495 0.103555 -0.181235 -1.24293
0.08 0 -0.0180813 -0.0213932 0.05 0.0481891 0.0149538 0.166796 0.0912833 -0.158687 -1.2114
0.09 0 -0.0170256 -0.0197327 0.05 0.0482952 0.0158065 0.16533 0.079306 -0.134468 -1.18405
0.1 0 -0.0160318 -0.0180857 0.05 0.0483951 0.0165408 0.164114 0.0675817 -0.108622 -1.1608
0.11 0 -0.0150961 -0.0164496 0.05 0.0484893 0.0171589 0.163166 0.0560698 -0.081163 -1.14159
0.12 0 -0.0142157 -0.0148215 0.05 0.0485788 0.0176627 0.162499 0.0447301 -0.0521218 -1.12635
0.13 0 -0.0133869 -0.0131986 0.05 0.0486632 0.0180539 0.162131 0.0335232 -0.0215042 -1.11503
0.14 0 -0.0126067 -0.0115778 0.05 0.0487428 0.0183335 0.162077 0.02241 0.0106977 -1.1076
0.15 0 -0.0118723 -0.00995595 0.05 0.0488179 0.0185023 0.162353 0.0113519 0.0445039 -1.10404
0.16 0 -0.0111808 -0.00832961 0.05 0.0488886 0.0185606 0.162975 0.000309957 0.0799458 -1.10434
0.17 0 -0.0105299 -0.00669524 0.05 0.0489554 0.0185084 0.16396 -0.0107544 0.117066 -1.10853
0.18 0 -0.00991724 -0.00504914 0.05 0.0490184 0.0183453 0.165325 -0.0218801 0.155919 -1.11662
0.19 0 -0.00934049 -0.00338741 0.05 0.0490778 0.0180705 0.167088 -0.0331064 0.19657 -1.12864
0.2 0 -0.00879758 -0.001706 0.05 0.049134 0.0176827 0.169266 -0.0444729 0.239094 -1.14465
0.21 0 -0.00828655 -6.40746e-07 0.05 0.049187 0.0171804 0.171879 -0.0560198 0.283578 -1.16472
0.22 0 -0.00780554 0.00173311 0.05 0.049237 0.0165616 0.174948 -0.067788 0.330122 -1.18893
0.23 0 -0.00735281 0.0034999 0.05 0.0492844 0.0158238 0.178493 -0.0798195 0.378833 -1.21736
0.24 0 -0.0069267 0.00530462 0.05 0.0493291 0.0149642 0.182536 -0.0921569 0.429834 -1.25013
0.25 0 -0.00652566 0.00715236 0.05 0.0493715 0.0139795 0.187101 -0.104844 0.483256 -1.28737
0.26 0 -0.00614825 0.00904847 0.05 0.0494115 0.012866 0.192214 -0.117927 0.539243 -1.3292
0.27 0 -0.00579309 0.0109986 0.05 0.0494495 0.0116195 0.1979 -0.131452 0.597953 -1.3758
0.28 0 -0.00545888 0.0130085 0.05 0.0494856 0.0102353 0.204187 -0.145468 0.659553 -1.42733
0.29 0 -0.00514436 0.0150844 0.05 0.0495196 0.0087083 0.211106 -0.160024 0.724206 -1.48395
0.3 0 -0.00484786 0.0172328 0.05 0.0495511 0.00703283 0.218687 -0.175172 0.791931 -1.54558
0.31 0 -0.00456346 0.0194604 0.05 0.0495718 0.00520276 0.226953 -0.190948 0.861267 -1.60966
0.32 0 -0.00424417 0.0217739 0.05 0.0495054 0.00321212 0.235842 -0.207247 0.916631 -1.6501
0.33 0 -0.00345444 0.0241764 0.05 0.0486277 0.00106101 0.24447 -0.222588 0.808836 -1.41811
0.34 0 0.00191486 0.0266335 0.05 0.0400916 -0.00118813 0.244142 -0.222478 -0.874388 1.44022
0.35 0.06 0.0506992 0.0290294 -0.05 -0.0408272 -0.00333703 0.234863 -0.206915 -0.981455 1.67239
0.36 0.06 0.0560419 0.0313299 -0.05 -0.049366 -0.00532322 0.225332 -0.190391 -0.924629 1.63231
0.37 0.06 0.0567784 0.0335382 -0.05 -0.0502492 -0.00714658 0.216444 -0.174386 -0.853084 1.56877
0.38 0.06 0.0570176 0.0356611 -0.05 -0.0503238 -0.00881301 0.208266 -0.159002 -0.782385 1.50787
0.39 0.06 0.0571947 0.0377058 -0.05 -0.0503141 -0.0103286 0.200785 -0.144202 -0.713968 1.45217
0.4 0.06 0.0573563 0.0396791 -0.05 -0.0502965 -0.0116988 0.193976 -0.129933 -0.647782 1.40175
0.41 0.06 0.057508 0.0415875 -0.05 -0.0502791 -0.0129288 0.187819 -0.116142 -0.583626 1.35647
0.42 0.06 0.0576506 0.0434376 -0.05 -0.0502627 -0.0140231 0.182294 -0.102779 -0.521288 1.31615
0.43 0.06 0.0577849 0.0452355 -0.05 -0.0502474 -0.0149857 0.177385 -0.0897945 -0.460557 1.28066
0.44 0.06 0.0579113 0.0469873 -0.05 -0.050233 -0.0158201 0.173076 -0.077142 -0.401231 1.24985
0.45 0.06 0.0580303 0.0486989 -0.05 -0.0502196 -0.0165294 0.169354 -0.0647746 -0.343109 1.22363
0.46 0.06 0.0581423 0.0503763 -0.05 -0.0502075 -0.0171164 0.166209 -0.0526469 -0.285994 1.2019
0.47 0.06 0.0582477 0.052025 -0.05 -0.0501961 -0.017583 0.16363 -0.0407146 -0.229693 1.18456
0.48 0.06 0.0583468 0.0536507 -0.05 -0.0501856 -0.0179312 0.161612 -0.028934 -0.174014 1.17155
0.49 0.06 0.0584401 0.0552591 -0.05 -0.0501758 -0.0181621 0.160148 -0.0172621 -0.118768 1.16283
0.5 0.06 0.0585279 0.0568555 -0.05 -0.0501667 -0.0182766 0.159235 -0.0056561 -0.0637633 1.15836
0.51 0.06 0.0586105 0.0584456 -0.05 -0.0501582 -0.0182753 0.158872 0.00592636 -0.00881243 1.15813
0.52 0.06 0.0586882 0.0600348 -0.05 -0.0501504 -0.018158 0.15906 0.0175276 0.0462746 1.16213
0.53 0.06 0.0587612 0.0616287 -0.05 -0.0501432 -0.0179245 0.1598 0.0291901 0.101688 1.17037
0.54 0.06 0.0588299 0.0632327 -0.05 -0.0501365 -0.0175739 0.161096 0.0409564 0.157622 1.18289
0.55 0.06 0.0588945 0.0648525 -0.05 -0.0501304 -0.0171049 0.162956 0.0528695 0.214269 1.19973
0.56 0.06 0.0589551 0.0664937 -0.05 -0.0501249 -0.0165159 0.165386 0.0649728 0.271829 1.22094
0.57 0.06 0.0590122 0.0681621 -0.05 -0.0501198 -0.0158047 0.168398 0.0773106 0.330503 1.24662
0.58 0.06 0.0590657 0.0698636 -0.05 -0.0501153 -0.0149687 0.172003 0.089928 0.390497 1.27684
0.59 0.06 0.059116 0.0716042 -0.05 -0.0501112 -0.014005 0.176215 0.102871 0.452023 1.31173
0.6 0.06 0.0591632 0.07339 -0.05 -0.0501076 -0.0129101 0.181052 0.116186 0.515299 1.3514
0.61 0.06 0.0592075 0.0752274 -0.05 -0.0501045 -0.0116799 0.186531 0.129923 0.580548 1.39599
0.62 0.06 0.059249 0.0771228 -0.05 -0.0501017 -0.01031 0.192674 0.144132 0.648 1.44568
0.63 0.06 0.059288 0.0790831 -0.05 -0.0500994 -0.00879551 0.199503 0.158863 0.717878 1.5006
0.64 0.06 0.059325 0.0811153 -0.05 -0.0500964 -0.00713085 0.207044 0.174169 0.790253 1.56066
0.65 0.06 0.0593652 0.0832265 -0.05 -0.0500849 -0.00531007 0.215314 0.190089 0.863713 1.6233
0.66 0.06 0.0594546 0.0854238 -0.05 -0.0499881 -0.00332737 0.224246 0.206518 0.92272 1.66241
0.67 0.06 0.0600278 0.0877106 -0.05 -0.0490817 -0.00118295 0.23295 0.221976 0.818129 1.4292
0.68 0.06 0.0651933 0.090053 -0.05 -0.0405186 0.00106061 0.232729 0.221971 -0.86229 -1.43026
0.69 0.12 0.113786 0.0923355 0.05 0.0404255 0.00320491 0.223583 0.206502 -0.966917 -1.66346
0.7 0.12 0.118948 0.0945239 0.05 0.0489883 0.00518741 0.214209 0.190063 -0.907982 -1.62434
0.71 0.12 0.119514 0.0966218 0.05 0.049894 0.00700787 0.205496 0.174133 -0.834629 -1.56168
0.72 0.12 0.119593 0.0986363 0.05 0.0499898 0.00867211 0.197511 0.158817 -0.762396 -1.50158
0.73 0.12 0.11962 0.100574 0.05 0.05 0.0101861 0.190235 0.144076 -0.692693 -1.44661
0.74 0.12 0.119639 0.102443 0.05 0.0500011 0.0115554 0.183645 0.129858 -0.625447 -1.39687
0.75 0.12 0.119657 0.10425 0.05 0.0500015 0.0127849 0.177715 0.116113 -0.560433 -1.35221
0.76 0.12 0.119674 0.106 0.05 0.0500017 0.013879 0.172426 0.102789 -0.497419 -1.31247
