time(s) ref_x(m) zmp_x(m) cog_x(m) ref_y(m) zmp_y(m) cog_y(m) vel_x(m) vel_y(m) acc_x(m) acc_y(m)
0 0 0 1.15607e-06 0 0 5.29501e-06 0.000346821 0.0015885 0.0693641 0.317701
0.01 0 -0.00190795 8.15213e-06 0 -0.00873876 3.73346e-05 0.00105836 0.00484636 0.0729432 0.333872
0.02 0 -0.00199946 2.23344e-05 0 -0.0091518 0.000102266 0.00177326 0.00811735 0.0700365 0.320326
0.03 0 -0.00190527 4.35164e-05 0 -0.00871404 0.000199212 0.00245789 0.0112475 0.0668912 0.305697
0.04 0 -0.00179753 7.13941e-05 0 -0.00821447 0.000326758 0.00311308 0.0142405 0.0641452 0.292908
0.05 0 -0.00169407 0.000105694 0 -0.00773493 0.00048363 0.00374303 0.0171159 0.0618449 0.28217
0.06 0 -0.00159646 0.000146185 0 -0.00728251 0.000668751 0.00435213 0.0198938 0.0599765 0.273417
0.07 0 -0.00150454 0.000192681 0 -0.00685649 0.000881246 0.00494462 0.0225937 0.0585217 0.266566
0.08 0 -0.00141801 0.000245036 0 -0.00645543 0.00112043 0.00552455 0.0252343 0.0574639 0.261539
0.09 0 -0.00133654 0.000303143 0 -0.00607788 0.00138579 0.00609581 0.0278333 0.0567885 0.258267
0.1 0 -0.00125984 0.000366936 0 -0.00572246 0.00167701 0.00666217 0.0304081 0.0564829 0.256691
0.11 0 -0.00118764 0.000436382 0 -0.00538789 0.00199393 0.00722726 0.0329755 0.0565346 0.256793
0.12 0 -0.00111962 0.000511488 0 -0.00507375 0.00233655 0.00779461 0.035552 0.0569367 0.2585
0.13 0 -0.00105558 0.000592294 0 -0.00477814 0.00270505 0.00836771 0.0381534 0.0576821 0.261779
0.14 0 -0.000995286 0.000678873 0 -0.00449988 0.00309975 0.00894995 0.0407953 0.0587656 0.266603
0.15 0 -0.00093853 0.000771335 0 -0.00423795 0.00352114 0.00954469 0.0434931 0.0601838 0.272956
0.16 0 -0.000885101 0.00086982 0 -0.00399141 0.00396985 0.0101553 0.046262 0.0619347 0.280828
0.17 0 -0.000834805 0.000974504 0 -0.00375935 0.00444667 0.0107851 0.0491172 0.064018 0.290216
0.18 0 -0.000787459 0.0010856 0 -0.00354094 0.00495254 0.0114373 0.0520739 0.066435 0.301127
0.19 0 -0.00074289 0.00120334 0 -0.00333537 0.00548854 0.0121154 0.0551474 0.0691886 0.313573
0.2 0 -0.000700936 0.001328 0 -0.0031419 0.00605592 0.0128228 0.0583531 0.0722833 0.327572
0.21 0 -0.000661446 0.0014599 0 -0.00295983 0.00665609 0.0135628 0.0617068 0.0757251 0.343153
0.22 0 -0.000624275 0.00159938 0 -0.00278849 0.00729061 0.0143391 0.0652243 0.0795216 0.360349
0.23 0 -0.000589288 0.00174682 0 -0.00262726 0.00796118 0.0151551 0.068922 0.083682 0.379202
0.24 0 -0.000556358 0.00190263 0 -0.00247556 0.0086697 0.0160146 0.0728168 0.088217 0.399759
0.25 0 -0.000525366 0.00206726 0 -0.00233283 0.00941823 0.0169214 0.076926 0.0931392 0.422077
0.26 0 -0.000496199 0.00224122 0 -0.00219856 0.010209 0.0178794 0.0812675 0.0984624 0.446219
0.27 0 -0.000468751 0.00242504 0 -0.00207225 0.0110444 0.0188927 0.0858599 0.104202 0.472256
0.28 0 -0.000442922 0.00261928 0 -0.00195345 0.0119271 0.0199656 0.0907225 0.110377 0.500266
0.29 0 -0.000418619 0.00282456 0 -0.00184168 0.0128598 0.0211025 0.0958754 0.117005 0.530319
0.3 0 -0.000395753 0.00304156 0 -0.0017361 0.0138456 0.0223081 0.101339 0.124107 0.562365
0.31 0 -0.000374242 0.00327097 0 -0.00163229 0.0148877 0.0235871 0.107126 0.131707 0.595113
0.32 0 -0.000354008 0.00351356 0 -0.00149156 0.015989 0.0249448 0.113179 0.13983 0.615504
0.33 0 -0.000334978 0.00377014 0 -0.000951417 0.0171497 0.0263865 0.118752 0.148503 0.499136
0.34 0 -0.000317082 0.00404159 0 0.00341198 0.0183383 0.0279178 0.116593 0.157754 -0.930962
0.35 0 -0.000300256 0.00432882 0.05 0.0439611 0.0194558 0.0295446 0.106696 0.167615 -1.04856
0.36 0 -0.000284439 0.00463282 0.05 0.0483151 0.0204706 0.0312733 0.0962999 0.17812 -1.03062
0.37 0 -0.000269574 0.00495465 0.05 0.0488363 0.0213825 0.0331104 0.0861389 0.189306 -1.00157
0.38 0 -0.000255607 0.00529541 0.05 0.0489486 0.0221943 0.035063 0.0762588 0.20121 -0.974463
0.39 0 -0.000242489 0.00565631 0.05 0.0490144 0.0229086 0.0371384 0.0666334 0.213876 -0.950609
0.4 0 -0.000230171 0.00603862 0.05 0.0490721 0.0235277 0.0393445 0.05723 0.227346 -0.930074
0.41 0 -0.00021861 0.00644367 0.05 0.0491261 0.0240538 0.0416896 0.0480156 0.241669 -0.912807
0.42 0 -0.000207765 0.0068729 0.05 0.0491769 0.0244885 0.0441824 0.0389578 0.256895 -0.898752
0.43 0 -0.000197596 0.00732784 0.05 0.0492248 0.0248334 0.0468323 0.0300247 0.273078 -0.887866
0.44 0 -0.000188068 0.0078101 0.05 0.04927 0.0250893 0.0496491 0.0211848 0.290276 -0.880115
0.45 0 -0.000179146 0.00832141 0.05 0.0493127 0.0252573 0.0526433 0.0124068 0.308579 -0.875482
0.46 0 -0.000171597 0.0088636 0.05 0.0493531 0.0253376 0.0558264 0.00365964 0.328026 -0.873951
0.47 0 -0.000164632 0.00943861 0.05 0.0493913 0.0253305 0.0592099 -0.00508771 0.348682 -0.875519
0.48 0 -0.000158144 0.0100485 0.05 0.0494273 0.0252357 0.0628064 -0.0138663 0.370622 -0.880198
0.49 0 -0.000152103 0.0106955 0.05 0.0494614 0.0250529 0.0666292 -0.0227073 0.393925 -0.888008
0.5 0 -0.000146486 0.0113819 0.05 0.0494935 0.0247813 0.0706922 -0.0316423 0.418675 -0.898983
0.51 0 -0.000141275 0.0121102 0.05 0.0495239 0.0244197 0.0750103 -0.040703 0.444961 -0.913166
0.52 0 -0.000136451 0.012883 0.05 0.0495527 0.0239667 0.0795995 -0.0499219 0.472878 -0.930613
0.53 0 -0.000131999 0.0137031 0.05 0.0495799 0.0234206 0.0844766 -0.0593319 0.502528 -0.95139
0.54 0 -0.000127903 0.0145736 0.05 0.0496056 0.0227793 0.0896593 -0.0689668 0.534017 -0.975578
0.55 0 -0.00012415 0.0154974 0.05 0.04963 0.0220404 0.0951667 -0.078861 0.567459 -1.00327
0.56 0 -0.000120728 0.016478 0.05 0.0496532 0.0212011 0.101019 -0.0890501 0.602976 -1.03456
0.57 0 -0.000117626 0.017519 0.05 0.0496752 0.0202583 0.107237 -0.0995708 0.640696 -1.06957
0.58 0 -0.000114834 0.0186241 0.05 0.0496961 0.0192084 0.113844 -0.110461 0.680757 -1.10844
0.59 0 -0.000112344 0.0197973 0.05 0.0497159 0.0180477 0.120865 -0.12176 0.723303 -1.1513
0.6 0 -0.000110149 0.0210428 0.05 0.0497349 0.0167717 0.128324 -0.133508 0.768489 -1.19832
0.61 0 -0.000108243 0.0223653 0.05 0.0497529 0.0153759 0.136249 -0.145748 0.816479 -1.24966
0.62 0 -0.000106614 0.0237695 0.05 0.0497702 0.013855 0.144668 -0.158523 0.867446 -1.30551
0.63 0 -0.000105204 0.0252604 0.05 0.0497866 0.0122035 0.153613 -0.171881 0.921555 -1.36606
0.64 0 -0.000103498 0.0268436 0.05 0.0498014 0.0104153 0.163115 -0.185868 0.978827 -1.43121
0.65 0 -9.66295e-05 0.0285246 0.05 0.0498064 0.00848393 0.173198 -0.200516 1.0378 -1.49844
0.66 0 -3.86233e-05 0.0303093 0.05 0.0497253 0.00640313 0.183802 -0.215716 1.08288 -1.54164
0.67 0 0.000505121 0.0321995 0.05 0.0488336 0.00417272 0.194041 -0.229985 0.964891 -1.31206
0.68 0 0.00564283 0.0341599 0.05 0.0402844 0.00185487 0.195223 -0.228824 -0.728457 1.54422
0.69 0.06 0.0542092 0.0360737 -0.05 -0.0406466 -0.000352315 0.187353 -0.212229 -0.845581 1.77469
0.7 0.06 0.0593466 0.0379058 -0.05 -0.0491971 -0.00238656 0.179131 -0.194689 -0.798754 1.73327
0.71 0.06 0.0598898 0.0396582 -0.05 -0.0500913 -0.00424787 0.171451 -0.177679 -0.737163 1.66873
0.72 0.06 0.0599471 0.0413368 -0.05 -0.0501762 -0.00594226 0.164384 -0.1613 -0.676384 1.60716
0.73 0.06 0.0599529 0.0429478 -0.05 -0.0501761 -0.00747583 0.157912 -0.145509 -0.617866 1.55114
0.74 0.06 0.0599533 0.044497 -0.05 -0.0501677 -0.0088542 0.152015 -0.130249 -0.561573 1.50074
0.75 0.06 0.0599531 0.04599 -0.05 -0.0501589 -0.0100824 0.146671 -0.115466 -0.50732 1.45582
0.76 0.06 0.0599529 0.0474322 -0.05 -0.0501507 -0.0111649 0.141859 -0.101106 -0.454912 1.4162
0.77 0.06 0.0599527 0.0488289 -0.05 -0.050143 -0.0121058 0.137564 -0.0871164 -0.404157 1.38176
0.78 0.06 0.0599525 0.0501851 -0.05 -0.0501359 -0.0129083 0.133769 -0.0734458 -0.354871 1.35236
0.79 0.06 0.0599522 0.0515059 -0.05 -0.0501293 -0.0135756 0.13046 -0.0600444 -0.306889 1.32792
