time(s) ref_x(m) zmp_x(m) cog_x(m) ref_y(m) zmp_y(m) cog_y(m) vel_x(m) vel_y(m) acc_x(m) acc_y(m)
0 0 0 0.0939093 0 -2.1684e-19 0.00354018 0.216431 0.210396 -4.95363 -2.03794
0.01 0 0.230248 0.0958205 0 0.0596304 0.00554175 0.165266 0.189868 -5.27942 -2.06759
0.02 0 0.241126 0.0972171 0 0.0624478 0.00733995 0.114822 0.170062 -4.80941 -1.89367
0.03 0 0.229586 0.0981333 0 0.0594594 0.00894893 0.0692861 0.152037 -4.29768 -1.71131
0.04 0 0.216418 0.0986193 0 0.0560493 0.0103866 0.0286939 0.13578 -3.82074 -1.54014
0.05 0 0.203777 0.0987224 0 0.0527757 0.01167 -0.00732806 0.121173 -3.38366 -1.38129
0.06 0 0.191851 0.0984866 0 0.0496871 0.0128151 -0.0391672 0.108096 -2.98416 -1.234
0.07 0 0.18062 0.0979518 0 0.0467785 0.0138367 -0.067185 0.0964393 -2.61941 -1.09739
0.08 0 0.170046 0.0971546 0 0.0440402 0.0147483 -0.0917154 0.0860993 -2.28668 -0.970601
0.09 0 0.160091 0.0961281 0 0.0414621 0.0155627 -0.113066 0.0769822 -1.98345 -0.852822
0.1 0 0.150718 0.0949029 0 0.0390349 0.0162918 -0.13152 0.0690015 -1.70737 -0.743309
0.11 0 0.141895 0.0935065 0 0.0367498 0.0169463 -0.147338 0.0620783 -1.45627 -0.641336
0.12 0 0.133587 0.0919641 0 0.0345977 0.0175366 -0.16076 0.0561403 -1.22814 -0.54627
0.13 0 0.125766 0.0902986 0 0.0325716 0.0180722 -0.172007 0.0511214 -1.02112 -0.457501
0.14 0 0.118403 0.0885306 0 0.0306639 0.0185619 -0.18128 0.0469617 -0.833488 -0.374453
0.15 0 0.111471 0.0866789 0 0.0288679 0.0190141 -0.188765 0.0436065 -0.663635 -0.296588
0.16 0 0.104944 0.0847606 0 0.0271771 0.0194365 -0.194634 0.0410065 -0.510084 -0.223398
0.17 0 0.0987997 0.0827911 0 0.0255851 0.0198366 -0.199042 0.0391175 -0.371464 -0.154406
0.18 0 0.0930149 0.0807842 0 0.0240863 0.0202211 -0.202132 0.0378997 -0.246505 -0.0891629
0.19 0 0.0875687 0.0787524 0 0.0226752 0.0205967 -0.204034 0.0373176 -0.134032 -0.0272451
0.2 0 0.0824414 0.0767071 0 0.0213466 0.0209695 -0.204869 0.0373402 -0.0329577 0.0317485
