time(s) ref_x(m) zmp_x(m) cog_x(m) ref_y(m) zmp_y(m) cog_y(m) vel_x(m) vel_y(m) acc_x(m) acc_y(m)
0 0 0 1.19464e-06 0 0 -5.26627e-06 0.000358393 -0.00157988 0.0716786 -0.315976
0.01 0 -0.00197161 8.42407e-06 0 0.00869133 -3.71318e-05 0.00109365 -0.00482001 0.0753722 -0.332049
0.02 0 -0.00206604 2.3079e-05 0 0.00910184 -0.00010171 0.00183232 -0.00807308 0.0723631 -0.318566
0.03 0 -0.00196857 4.49661e-05 0 0.00866615 -0.000198126 0.00253968 -0.0111859 0.0691079 -0.304006
0.04 0 -0.00185708 7.37709e-05 0 0.00816901 -0.000324974 0.00321654 -0.0141624 0.0662654 -0.291276
0.05 0 -0.00175005 0.00010921 0 0.0076918 -0.000480983 0.00386729 -0.0170217 0.0638837 -0.280586
0.06 0 -0.00164906 0.000151045 0 0.00724158 -0.000665084 0.00449645 -0.019784 0.0619484 -0.271872
0.07 0 -0.00155396 0.000199082 0 0.00681764 -0.000876403 0.00510839 -0.0224686 0.0604407 -0.265049
0.08 0 -0.00146442 0.000253169 0 0.00641853 -0.00111426 0.00570731 -0.025094 0.0593434 -0.26004
0.09 0 -0.00138013 0.000313198 0 0.00604282 -0.00137815 0.00629724 -0.0276781 0.0586413 -0.256778
0.1 0 -0.00130078 0.000379097 0 0.00568913 -0.00166774 0.00688205 -0.030238 0.0583214 -0.255202
0.11 0 -0.00122608 0.000450835 0 0.00535618 -0.00198288 0.00746555 -0.0327905 0.0583777 -0.255291
0.12 0 -0.00115589 0.000528416 0 0.00504346 -0.00232358 0.00805142 -0.0353518 0.0587964 -0.256977
0.13 0 -0.00108983 0.000611883 0 0.00474917 -0.00269 0.00864325 -0.0379378 0.0595695 -0.260225
0.14 0 -0.00102765 0.000701312 0 0.00447215 -0.00308247 0.00924455 -0.040564 0.0606918 -0.265011
0.15 0 -0.000969104 0.000796817 0 0.0042114 -0.00350146 0.00985881 -0.0432456 0.0621595 -0.271316
0.16 0 -0.000913994 0.000898543 0 0.00396596 -0.00394762 0.0104895 -0.0459979 0.0639706 -0.279133
0.17 0 -0.000862115 0.00100667 0 0.00373494 -0.00442171 0.0111399 -0.0488358 0.0661249 -0.288458
0.18 0 -0.000813278 0.00112142 0 0.0035175 -0.00492467 0.0118137 -0.0517746 0.0686237 -0.299297
0.19 0 -0.000767307 0.00124303 0 0.00331286 -0.00545759 0.0125141 -0.0548294 0.0714701 -0.311661
0.2 0 -0.000724032 0.0013718 0 0.00312025 -0.00602169 0.0132448 -0.0580156 0.0746687 -0.325572
0.21 0 -0.000683299 0.00150804 0 0.00293899 -0.00661839 0.0140093 -0.0613487 0.0782257 -0.341054
