time(s) ref_x(m) zmp_x(m) cog_x(m) ref_y(m) zmp_y(m) cog_y(m) vel_x(m) vel_y(m) acc_x(m) acc_y(m)
0 0 0 -0.031733 0.05 0.05 -0.00556234 0.206065 -0.199766 -0.719045 2.98437
0.01 0 -0.0119428 -0.0297067 0.05 -0.0877009 -0.00740796 0.199345 -0.169076 -0.624836 3.1537
0.02 0 -0.0125094 -0.0277437 0.05 -0.0942071 -0.00894614 0.193345 -0.139072 -0.575168 2.84709
0.03 0 -0.0119134 -0.0258383 0.05 -0.0873065 -0.0102 0.187816 -0.112259 -0.530667 2.51542
0.04 0 -0.0112328 -0.0239859 0.05 -0.0794318 -0.011202 0.182727 -0.0886601 -0.487105 2.20436
0.05 0 -0.0105794 -0.0221823 0.05 -0.0718724 -0.0119832 0.178072 -0.0680542 -0.443971 1.91683
0.06 0 -0.00996288 -0.020423 0.05 -0.06474 -0.0125723 0.173846 -0.0502131 -0.401144 1.65139
0.07 0 -0.00938238 -0.0187039 0.05 -0.0580235 -0.012996 0.170048 -0.0349249 -0.35854 1.40624
0.08 0 -0.00883586 -0.0170207 0.05 -0.0516999 -0.0132787 0.166675 -0.0219954 -0.316075 1.17966
0.09 0 -0.00832136 -0.015369 0.05 -0.0457465 -0.0134432 0.163726 -0.0112469 -0.273663 0.970039
0.1 0 -0.00783701 -0.0137447 0.05 -0.0401415 -0.0135104 0.161202 -0.00251734 -0.231214 0.775868
0.11 0 -0.00738105 -0.0121436 0.05 -0.0348645 -0.0134997 0.159102 0.00434061 -0.188619 0.595721
0.12 0 -0.00695224 -0.0105613 0.05 -0.0298957 -0.0134293 0.15743 0.00946075 -0.145793 0.428308
0.13 0 -0.00654862 -0.00899354 0.05 -0.0252176 -0.0133159 0.156188 0.0129643 -0.102636 0.272405
0.14 0 -0.00616868 -0.00743606 0.05 -0.0208133 -0.0131751 0.15538 0.0149607 -0.0590423 0.126863
0.15 0 -0.00581104 -0.00588448 0.05 -0.0166667 -0.0130214 0.15501 0.015548 -0.0148995 -0.00939799
0.16 0 -0.0054744 -0.00433438 0.05 -0.0127627 -0.0128685 0.155085 0.014814 0.029908 -0.137388
0.17 0 -0.00515753 -0.00278127 0.05 -0.00908719 -0.0127293 0.155612 0.0128368 0.0755012 -0.258061
0.18 0 -0.00485929 -0.0012206 0.05 -0.00562668 -0.0126157 0.1566 0.00968495 0.122007 -0.372311
0.19 0 -0.00457858 0.000352292 0.05 -0.00236861 -0.0125393 0.158057 0.00541846 0.169556 -0.480987
0.2 0 -0.0043144 0.00194216 0.05 0.000698885 -0.0125109 0.159997 8.90829e-05 0.218288 -0.584888
0.21 0 -0.00406577 0.00355387 0.05 0.00358697 -0.0125409 0.16243 -0.00625924 0.268346 -0.684776
